"relative_path","size_bytes","last_write_time"
".gitignore","175","2026-05-24T10:30:13"
"CITATION.cff","561","2026-05-24T10:30:13"
"code\cat_rms_and_das_processing\calculate_cumulative_cat_rms.py","31890","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\DASH5_PCA.py","14270","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\estimate_background_rms_thresholds.py","33272","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\extract_rms_snapshot_table.py","5428","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\log_transform_rms_for_voxler.py","1300","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\normalize_cumulative_rms.py","2781","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\preprocess_lowpass_downsample_h5.py","11384","2026-05-25T09:39:50"
"code\cat_rms_and_das_processing\README.md","1802","2026-05-25T09:41:13"
"code\cat_rms_and_das_processing\strain_rate_to_strain_export.py","18304","2026-05-25T09:39:50"
"code\voxel_damage_analysis\logistic_model_comparison_and_fit.py","29110","2026-05-25T09:39:50"
"code\voxel_damage_analysis\main_damage_core_growth_analysis.py","44977","2026-05-25T09:39:50"
"code\voxel_damage_analysis\p90_core_organization_metrics.py","15237","2026-05-25T09:39:50"
"code\voxel_damage_analysis\README.md","1767","2026-05-25T09:41:13"
"code\voxel_damage_analysis\supplementary_logistic_sensitivity_analysis.py","48650","2026-05-25T09:39:50"
"CODE_AVAILABILITY_statement.md","993","2026-05-25T09:24:56"
"DATA_AVAILABILITY_statement.md","1339","2026-05-24T10:30:13"
"GITHUB_ZENODO_UPLOAD_GUIDE.md","3478","2026-05-24T10:37:12"
"LICENSE_RECOMMENDATION.txt","662","2026-05-24T10:30:13"
"metadata\code_inventory.csv","1534","2026-05-25T09:39:50"
"metadata\data_inventory.csv","1563","2026-05-24T10:57:11"
"metadata\file_manifest.csv","9529","2026-05-25T09:39:50"
"README.md","2155","2026-05-25T09:41:13"
"requirements.txt","44","2026-05-24T10:30:13"
"restricted_data_request\DAS_raw_data_request_template.md","720","2026-05-24T10:30:14"
"restricted_data_request\README_restricted_DAS_data.md","918","2026-05-24T10:30:14"
"source_data\main_figures\figure_1\Fig1_a_waveforms_digitized.csv","928","2026-05-23T11:42:29"
"source_data\main_figures\figure_1\Fig1_b_psd_curves_digitized.csv","847","2026-05-23T11:44:47"
"source_data\main_figures\figure_1\Fig1_b1_low_frequency_psd_digitized.csv","405","2026-05-23T11:44:32"
"source_data\main_figures\figure_1\README_digitized_approx.md","742","2026-05-23T11:51:24"
"source_data\main_figures\figure_2\FIG2_a_CAT-RMS areal plots.csv","1260716","2026-05-23T14:59:46"
"source_data\main_figures\figure_2\FIG2_b_Low-frequency strain curves.csv","2107890","2026-05-23T15:07:58"
"source_data\main_figures\figure_2\FIG2_c_Three-dimensional CAT-RMS distribution.txt","3709","2025-12-12T11:05:50"
"source_data\main_figures\figure_2\FIG2_e_Three-dimensional strain distribution.txt","2464","2025-12-14T18:48:11"
"source_data\main_figures\figure_3\FIG3_a_CAT-RMS evolution.csv","883807","2026-05-23T15:22:28"
"source_data\main_figures\figure_3\FIG3_b1_Three-dimensional CAT-RMS maps_log.txt","3659","2025-12-12T11:03:26"
"source_data\main_figures\figure_3\FIG3_b2_Three-dimensional CAT-RMS maps_log.txt","3681","2025-12-12T11:03:57"
"source_data\main_figures\figure_3\FIG3_b3_Three-dimensional CAT-RMS maps_log.txt","3702","2025-12-12T11:34:17"
"source_data\main_figures\figure_3\FIG3_b4_Three-dimensional CAT-RMS maps_log.txt","3708","2025-12-12T11:06:12"
"source_data\main_figures\figure_3\FIG3_b5_Three-dimensional CAT-RMS maps_log.txt","3709","2025-12-12T11:05:50"
"source_data\main_figures\figure_3\FIG3_d1_Isosurfaces extracted_log.txt","3708","2025-12-12T11:06:12"
"source_data\main_figures\figure_3\FIG3_d2_Isosurfaces extracted_log.txt","3702","2025-12-12T11:34:17"
"source_data\main_figures\figure_4\fFIG_4_b_README.txt","962","2026-05-25T09:31:08"
"source_data\main_figures\figure_4\FIG_4_a_Lmax(t) for cases S1, S2 and S4.csv","743","2026-05-23T15:54:31"
"source_data\main_figures\figure_4\FIG_4_b_lmax_input.csv","988","2026-05-23T16:08:43"
"source_data\main_figures\figure_4\FIG_4_b_model_aicc_delta_source.csv","1321","2026-05-23T16:08:43"
"source_data\main_figures\figure_4\FIG_4_b_plot_bars.csv","171","2026-05-23T16:08:44"
"source_data\main_figures\figure_4\FIG_4_c_direct_replot_source.csv","219755","2026-05-23T16:22:21"
"source_data\main_figures\figure_5\FIG_5_a_synchronization between dominant damage-core growth and slope-surface displacement for cases S1.csv","602267","2026-05-23T21:17:13"
"source_data\main_figures\figure_5\FIG_5_b_synchronization between dominant damage-core growth and slope-surface displacement for cases S2.csv","832993","2026-05-23T21:17:25"
"source_data\main_figures\figure_5\FIG_5_c_synchronization between dominant damage-core growth and slope-surface displacement for cases S4.csv","803967","2026-05-23T21:17:34"
"source_data\main_figures\figure_5\FIG_5_d_compares the three warning-window estimates.csv","402","2026-05-23T21:20:16"
"source_data\main_figures\figure_6\FIG6_a1_PWP_MS_VWC.csv","1033157","2026-05-24T09:33:41"
"source_data\main_figures\figure_6\FIG6_a2_CAT-RMS damage-energy accumulation.csv","520208","2026-05-23T22:05:29"
"source_data\main_figures\figure_6\FIG6_a3_DAS strain response.csv","764099","2026-05-23T22:05:50"
"source_data\main_figures\figure_6\FIG6_b1_PWP_MS_VWC.csv","808179","2026-05-24T09:33:56"
"source_data\main_figures\figure_6\FIG6_b2_CAT-RMS damage-energy accumulation.csv","508945","2026-05-23T22:06:17"
"source_data\main_figures\figure_6\FIG6_b3_DAS strain response.csv","768832","2026-05-23T22:06:30"
"source_data\main_figures\figure_6\FIG6_c1_PWP_MS_VWC.csv","810297","2026-05-24T09:34:08"
"source_data\main_figures\figure_6\FIG6_c2_CAT-RMS damage-energy accumulation.csv","500884","2026-05-23T22:07:00"
"source_data\main_figures\figure_6\FIG6_c3_DAS strain response.csv","769449","2026-05-23T22:07:14"
