relative_time_ms,microseismic_signal_strain_rate,background_noise_strain_rate
0,-0.001,0.0005
5,0.0012,-0.0008
10,-0.0007,0.001
15,0.0015,-0.0006
20,-0.0013,0.0007
25,0.0008,-0.0011
30,-0.001,0.0012
35,0.0014,-0.0008
40,-0.0009,0.0009
45,0.0011,-0.0006
50,-0.0015,0.0008
55,0.0007,-0.001
60,-0.0012,0.0011
65,0.001,-0.0008
70,-0.0011,0.0007
75,0.0014,-0.001
80,-0.0008,0.0012
85,0.0016,-0.0007
90,-0.002,0.0009
95,0.0035,-0.0011
100,0.015,0.0008
102,-0.025,-0.0007
104,-0.05,0.001
106,0.048,-0.0012
108,-0.03,0.0009
110,0.018,-0.0008
112,-0.012,0.0011
115,0.008,-0.001
120,0.006,0.0006
125,-0.004,-0.0007
130,0.005,0.001
135,-0.003,-0.0008
140,0.002,0.0007
145,-0.0025,-0.0011
150,0.0015,0.0012
155,-0.0012,-0.0008
160,0.001,0.0009
165,-0.0008,-0.0006
170,0.0012,0.0008
175,-0.001,-0.001
180,0.0008,0.0011
185,-0.0007,-0.0008
190,0.0011,0.0009
195,-0.0009,-0.0007
200,0.0008,0.0006
