frequency_Hz,PSD_event_included_period_dB_per_Hz,PSD_rainfall_only_period_dB_per_Hz
0,-91,-95
10,-84,-93
20,-83,-92
30,-78,-91
40,-79,-90
50,-77.5,-90
60,-77,-90.2
70,-74.5,-90
80,-75.5,-90.5
90,-75,-90.8
100,-78,-91
110,-79,-91.5
120,-80,-91
130,-80.5,-87
140,-81.5,-86
150,-82,-88.5
160,-81,-89.5
170,-82,-90
180,-84,-89.5
190,-84.5,-89
200,-85,-88.5
210,-85,-88.2
220,-84.5,-87.8
230,-83,-85.5
240,-82.5,-82.5
250,-83.5,-82
260,-84,-83.5
270,-85,-84.5
280,-84.5,-85
290,-83.2,-84
300,-82.8,-83
310,-82.5,-82.5
320,-82,-82
330,-81.2,-81.5
340,-80.8,-80.8
350,-81,-80
360,-81.5,-80.2
370,-81.8,-80.5
380,-82,-80.8
390,-81.5,-81.2
400,-81,-81.8
410,-80,-82
420,-79.2,-81.8
430,-78.5,-81.5
440,-78,-81
450,-77.6,-80.8
460,-77.3,-80.5
470,-77.6,-80.3
480,-77.8,-80.1
490,-77.7,-80
500,-77.5,-79.8
