Time,Ch240-242,Ch245-247,Ch250-252,Ch255-257
2025-7-7 14:06,0,0,0,0
2025-7-7 14:06,8.028035e-05,-0.000027,1.5757158e-05,-0.000431708
2025-7-7 14:06,0.000123999,-0.0000388,2.3537623e-05,-0.000654142
2025-7-7 14:06,0.000142647,-0.0000372,2.676895e-05,-0.00073228
2025-7-7 14:06,0.000146181,-0.0000253,2.8388728e-05,-0.00072975
2025-7-7 14:06,0.00014168,-0.00000787,2.9981657e-05,-0.000693923
2025-7-7 14:07,0.000133833,8.999028e-06,3.1943087e-05,-0.000653849
2025-7-7 14:07,0.000126047,2.1534861e-05,3.370357e-05,-0.00062398
2025-7-7 14:07,0.000120666,2.9067243e-05,3.514124e-05,-0.000608497
2025-7-7 14:07,0.000118224,3.239955e-05,3.675639e-05,-0.000605459
2025-7-7 14:07,0.000118196,3.3843113e-05,3.8614482e-05,-0.000609601
2025-7-7 14:07,0.000118924,3.5815145e-05,4.0861083e-05,-0.000615126
2025-7-7 14:07,0.000118479,3.9369323e-05,4.3061314e-05,-0.000618658
2025-7-7 14:07,0.000116408,4.3770306e-05,4.4905737e-05,-0.000619598
2025-7-7 14:07,0.000113941,4.68897e-05,4.789608e-05,-0.000619626
2025-7-7 14:07,0.000112992,4.7822894e-05,5.4235734e-05,-0.000621536
07:10.0,0.00011427,4.7459904e-05,6.487553e-05,-0.000626743
07:11.0,0.000117166,4.7533136e-05,7.827832e-05,-0.00063434
07:12.0,0.000120663,4.953952e-05,9.112761e-05,-0.000642829
07:13.0,0.000123759,5.326353e-05,9.988677e-05,-0.000651586
07:14.0,0.000125988,5.753123e-05,0.000102149,-0.000661467
07:15.0,0.00012735,6.205725e-05,9.819238e-05,-0.000672776
07:16.0,0.000128156,6.583591e-05,9.0756446e-05,-0.000683295
07:17.0,0.000129075,6.759008e-05,8.263195e-05,-0.000690344
07:18.0,0.000129986,6.784477e-05,7.522861e-05,-0.000693403
07:19.0,0.000130599,6.850717e-05,6.899774e-05,-0.000693486
07:20.0,0.000131119,7.136637e-05,6.393642e-05,-0.000691863
07:21.0,0.00013224,7.646619e-05,5.9359885e-05,-0.000690438
07:22.0,0.000134181,8.204706e-05,5.5049448e-05,-0.000690977
07:23.0,0.000136989,8.455599e-05,5.1474406e-05,-0.000693592
07:24.0,0.000141176,8.0849335e-05,4.929035e-05,-0.000697132
07:24.9,0.00014723,7.075584e-05,4.8751295e-05,-0.000699077
07:25.9,0.000155073,5.7968402e-05,4.968382e-05,-0.000696996
07:26.9,0.00016435,4.7948717e-05,5.1860745e-05,-0.000690976
07:27.9,0.00017427,4.3883574e-05,5.4980053e-05,-0.000683529
07:28.9,0.000183242,4.5814948e-05,5.7454272e-05,-0.000677546
07:29.9,0.000189832,5.2060863e-05,5.7816305e-05,-0.000675234
07:30.9,0.000193111,5.9933904e-05,5.59513e-05,-0.000677539
07:31.9,0.000193061,6.637423e-05,5.261587e-05,-0.000684092
07:32.9,0.000190768,6.942765e-05,4.875106e-05,-0.000692624
07:33.9,0.000188666,6.9509224e-05,4.4956483e-05,-0.00069982
07:34.9,0.000188814,6.9043395e-05,4.135289e-05,-0.000703906
07:35.9,0.000191193,6.997425e-05,3.7922928e-05,-0.000704955
07:36.9,0.000194395,7.164399e-05,3.4487246e-05,-0.000703406
07:37.9,0.000196944,7.260454e-05,3.1200474e-05,-0.000698321
07:38.9,0.000198135,7.203605e-05,2.8836977e-05,-0.000690252
07:39.9,0.00019817,6.9203415e-05,2.7965543e-05,-0.000681069
07:40.9,0.000197779,6.369904e-05,2.7862528e-05,-0.000673008
07:41.9,0.000197515,5.5206638e-05,2.6884405e-05,-0.000668228
07:42.9,0.000197008,4.4624307e-05,2.4488723e-05,-0.000668559
07:43.9,0.000196028,3.4407756e-05,2.1087706e-05,-0.000675192
07:44.9,0.000195512,2.6641486e-05,1.6739032e-05,-0.000687749
07:45.9,0.000195795,2.1328671e-05,1.15064295e-05,-0.000703445
07:46.9,0.00019619,1.7769928e-05,5.4554976e-06,-0.00071838
07:47.9,0.00019587,1.5420497e-05,-0.00000144,-0.000729558
07:48.9,0.000193757,1.3759618e-05,-0.000009,-0.000735501
07:49.9,0.000188786,1.3394451e-05,-0.0000175,-0.000735263
07:50.9,0.000180581,1.5114535e-05,-0.000028,-0.000730095
07:51.9,0.000170241,1.9297528e-05,-0.0000413,-0.000723568
07:52.9,0.000159632,2.5472335e-05,-0.0000566,-0.00071906
07:53.9,0.000149705,3.2963788e-05,-0.0000719,-0.000717324
07:54.9,0.000140188,4.0865765e-05,-0.0000845,-0.00071669
07:55.9,0.00013101,4.8091264e-05,-0.000092,-0.000715257
07:56.9,0.000122733,5.3758326e-05,-0.0000937,-0.000711934
07:57.9,0.000115456,5.8834776e-05,-0.0000904,-0.000707659
07:58.9,0.000108868,6.6040346e-05,-0.0000842,-0.000705205
07:59.9,0.000103353,7.7594814e-05,-0.0000782,-0.000707223
08:00.9,9.963532e-05,9.413471e-05,-0.0000747,-0.000714829
08:01.9,9.750089e-05,0.000114169,-0.000075,-0.000727342
08:02.9,9.6813084e-05,0.000134812,-0.0000774,-0.000742939
