38:29.7	X	Y	Z
-0.003721955	150	121.6	20
0.000274526	150	87.2	20
0.00639453	150	52.8	20
0.000533023	150	18.4	20
-0.003369673	120	18.4	20
0.003525271	120	52.8	20
0.005117822	120	87.2	20
0.003251494	120	121.6	20
1.2014477e-05	90	121.6	20
-0.01046308	90	87.2	20
-0.000728321	90	52.8	20
0.003610615	90	18.4	20
0.003603429	60	18.4	20
-0.004311319	60	52.8	20
-0.005202864	60	87.2	20
0.003684568	60	121.6	20
0.006707323	30	121.6	20
-0.005700272	30	87.2	20
-0.000990308	30	52.8	20
-0.004421871	30	18.4	20
0.006080277	120	18.4	50
0.004562914	120	52.8	50
-0.005140731	120	87.2	50
-0.007754334	120	121.6	50
-0.000259191	90	121.6	50
0.002529014	90	87.2	50
0.001347161	90	52.8	50
0.002515799	90	18.4	50
-0.001703136	60	18.4	50
-0.002520056	60	52.8	50
0.003082811	60	87.2	50
-0.001890702	60	121.6	50
0.003550791	30	121.6	50
0.002045739	30	87.2	50
-0.003365788	30	52.8	50
-0.007248497	30	18.4	50
0.004412144	90	18.4	80
-0.005106338	90	52.8	80
0.001239185	90	87.2	80
0.003568684	90	121.6	80
0.002974448	60	121.6	80
0.004976409	60	87.2	80
-0.004513165	60	52.8	80
0.006711801	60	18.4	80
0.000699794	30	18.4	80
0.00411992	30	52.8	80
0.001086334	30	87.2	80
-0.001482893	30	121.6	80
0.004396373	20	120	98
0.001671159	20	100	98
-0.001133331	20	80	98
-0.003875096	20	60	98
-0.006499339	20	40	98
0.000506837	20	20	98
0.008234468	40	40	98
0.002896731	40	60	98
-0.00273952	40	80	98
-0.007679835	40	100	98
-0.003586592	40	120	98
0.010356089	60	100	98
0.011770596	60	80	98
0.011476129	60	60	98
0.009350413	60	40	98
-0.005554375	60	20	98
0.010256485	80	40	98
0.011323326	80	60	98
0.011392118	80	80	98
0.010110216	80	100	98
0.002779944	80	120	98
-0.002976871	89	100	98
-0.003892092	88	80	98
-0.002631719	87	60	98
-0.000115353	86	40	98
-0.002779291	85	20	98
-0.016145853	95	40	98
-0.015516864	95	60	98
-0.014586384	95	80	98
-0.001449978	112	120	84
-0.001489158	123	100	74
-6.16E-05	123	80	74
0.001129522	123	60	74
0.002099037	123	40	74
0.005326894	124	20	66
-0.001063032	135	40	58
-0.003062084	135	60	58
-0.003354207	135	80	58
-0.001605525	135	100	58
-0.001070875	136	120	50
-0.06159726	147	100	42
-0.061784625	147	80	42
-0.061832342	147	60	42
-0.06714978	147	40	42
-0.103106886	148	20	34
-0.053767182	159	40	26
-0.049525272	159	60	26
-0.043919295	159	80	26
-0.036858346	159	100	26
-0.00306501	160	120	18
0.012874371	171	100	10
0.01160231	171	80	10
0.007197993	171	60	10
0.001502008	171	40	10
