CAT-RMS,Time(s),Ch90-92,S1Linear displacement sensor,Time(s),Slope surface,Horizontal crest platform
,0,0,,250707 14:00:02,0,0
,1,0,,250707 14:00:06,0,0
,2,0,,250707 14:00:10,0,0
,3,0,,250707 14:00:14,0,0
,4,0,,250707 14:00:18,0,0
,5,0,,250707 14:00:22,0,0
,6,0,,250707 14:00:26,-1,0
,7,0,,250707 14:00:30,-0.8,0
,8,0,,250707 14:00:34,-0.8,0
,9,0,,250707 14:00:38,-0.7,0
,10,0,,250707 14:00:42,-0.7,0
,11,0,,250707 14:00:46,-0.7,0
,12,0,,250707 14:00:50,-0.6,0
,13,0,,250707 14:00:54,-0.6,0
,14,0,,250707 14:00:58,-0.5,0
,15,0,,250707 14:01:02,-0.5,0
,16,0,,250707 14:01:06,-0.5,0
,17,0,,250707 14:01:10,-0.5,0.1
,18,0,,250707 14:01:14,-0.5,0
,19,0,,250707 14:01:18,-0.4,0
,20,0,,250707 14:01:22,-0.4,0
,21,0,,250707 14:01:26,-0.4,0
,22,0,,250707 14:01:30,-0.4,0
,23,0,,250707 14:01:34,-0.4,0.1
,24,0,,250707 14:01:38,-0.4,0.1
,25,0,,250707 14:01:42,-0.4,0
,26,0,,250707 14:01:46,-0.4,0
,27,0,,250707 14:01:50,-0.4,0
,28,0,,250707 14:01:54,-0.4,0
,29,0,,250707 14:01:58,-0.4,0.1
,30,0,,250707 14:02:02,-0.4,0
,31,0,,250707 14:02:06,-0.4,0
,32,0,,250707 14:02:10,-0.4,0
,33,0,,250707 14:02:14,-0.3,0
,34,0,,250707 14:02:18,-0.3,0.1
,35,0,,250707 14:02:22,-0.4,0
,36,0,,250707 14:02:26,-0.3,0.1
,37,0,,250707 14:02:30,-0.3,0.1
,38,0,,250707 14:02:34,-0.3,0
,39,0,,250707 14:02:38,-0.3,0
,40,0,,250707 14:02:42,-0.3,0
,41,0,,250707 14:02:46,-0.3,0.1
,42,0,,250707 14:02:50,-0.3,0
,43,0,,250707 14:02:54,-0.3,0.1
,44,0,,250707 14:02:58,-0.3,0.1
,45,0,,250707 14:03:02,-0.3,0.1
,46,0,,250707 14:03:06,-0.3,0.1
,47,0,,250707 14:03:10,-0.3,0.1
,48,0,,250707 14:03:14,-0.3,0.1
,49,0,,250707 14:03:18,-0.3,0.1
,50,0,,250707 14:03:22,-0.3,0.1
,51,0,,250707 14:03:26,-0.3,0.1
,52,0,,250707 14:03:30,-0.3,0.1
,53,0,,250707 14:03:34,-0.3,0.1
,54,0,,250707 14:03:38,-0.2,0.1
,55,0,,250707 14:03:42,-0.2,0.1
,56,0,,250707 14:03:46,-0.2,0.1
,57,0,,250707 14:03:50,-0.2,0.1
,58,0,,250707 14:03:54,-0.3,0.1
,59,0,,250707 14:03:58,-0.2,0.1
,60,0,,250707 14:04:02,-0.3,0.1
,61,0,,250707 14:04:06,-0.3,0.1
,62,0,,250707 14:04:10,-0.2,0.1
,63,0,,250707 14:04:14,-0.3,0.1
,64,0,,250707 14:04:18,-0.2,0.1
,65,0,,250707 14:04:22,-0.2,0.1
,66,0,,250707 14:04:26,-0.2,0.1
,67,0,,250707 14:04:30,-0.2,0.1
,68,0,,250707 14:04:34,-0.2,0.1
,69,0,,250707 14:04:38,-0.2,0.1
,70,0,,250707 14:04:42,-0.2,0.1
,71,0,,250707 14:04:46,-0.2,0.1
,72,0,,250707 14:04:50,-0.2,0.1
,73,0,,250707 14:04:54,-0.2,0.1
,74,0,,250707 14:04:58,-0.2,0.1
,75,0,,250707 14:05:02,-0.2,0.1
,76,0,,250707 14:05:06,-0.2,0.1
,77,0,,250707 14:05:10,-0.2,0.1
,78,0,,250707 14:05:14,-0.2,0.1
,79,0,,250707 14:05:18,-0.2,0.1
,80,0,,250707 14:05:22,-0.2,0.1
,81,0,,250707 14:05:26,-0.2,0.1
,82,0,,250707 14:05:30,-0.2,0.1
,83,0,,250707 14:05:34,-0.2,0.1
,84,0,,250707 14:05:38,-0.2,0.1
,85,0,,250707 14:05:42,-0.2,0.1
,86,0,,250707 14:05:46,-0.2,0.1
,87,0,,250707 14:05:50,-0.2,0.1
,88,0,,250707 14:05:54,-0.2,0.1
,89,0,,250707 14:05:58,-0.2,0.1
,90,0,,250707 14:06:02,-0.2,0.1
,91,0,,250707 14:06:06,-0.2,0.1
,92,0,,250707 14:06:10,-0.2,0.1
,93,0,,250707 14:06:14,-0.2,0.1
,94,0,,250707 14:06:18,-0.2,0.1
,95,0,,250707 14:06:22,-0.2,0.1
,96,0,,250707 14:06:26,-0.2,0.1
,97,0,,250707 14:06:30,-0.2,0.1
,98,0,,250707 14:06:34,-0.2,0.1
,99,0,,250707 14:06:38,-0.2,0.1
,100,0,,250707 14:06:42,-0.2,0.1
,101,0,,250707 14:06:46,-0.2,0.1
,102,0,,250707 14:06:50,-0.2,0.1
,103,0,,250707 14:06:54,-0.2,0.1
,104,0,,250707 14:06:58,-0.2,0.1
,105,0,,250707 14:07:02,-0.2,0.1
,106,0,,250707 14:07:06,-0.2,0.1
,107,0,,250707 14:07:10,-0.2,0.1
,108,0,,250707 14:07:14,-0.2,0.1
,109,0,,250707 14:07:18,-0.2,0.1
,110,0,,250707 14:07:22,-0.2,0.1
,111,0,,250707 14:07:26,-0.2,0.1
,112,0,,250707 14:07:30,-0.2,0.1
,113,0,,250707 14:07:34,-0.2,0.1
,114,0,,250707 14:07:38,-0.2,0.1
,115,0,,250707 14:07:42,-0.2,0.1
,116,0,,250707 14:07:46,-0.2,0.1
,117,0,,250707 14:07:50,-0.2,0.2
,118,0,,250707 14:07:54,-0.2,0.1
,119,0,,250707 14:07:58,-0.2,0.1
,120,0,,250707 14:08:02,-0.2,0.1
,121,0,,250707 14:08:06,-0.2,0.1
,122,0,,250707 14:08:10,-0.2,0.1
,123,0,,250707 14:08:14,-0.2,0.1
,124,0,,250707 14:08:18,-0.2,0.1
,125,0,,250707 14:08:22,-0.2,0.1
,126,0,,250707 14:08:26,-0.2,0.1
,127,0,,250707 14:08:30,-0.2,0.1
,128,0,,250707 14:08:34,-0.2,0.1
,129,0,,250707 14:08:38,-0.2,0.1
,130,0,,250707 14:08:42,-0.2,0.1
,131,0,,250707 14:08:46,-0.2,0.1
,132,0,,250707 14:08:50,-0.2,0.1
,133,0,,250707 14:08:54,-0.2,0.1
,134,0,,250707 14:08:58,-0.2,0.1
,135,0,,250707 14:09:02,-0.2,0.1
,136,0,,250707 14:09:06,-0.2,0.1
,137,0,,250707 14:09:10,-0.2,0.1
,138,0,,250707 14:09:14,-0.2,0.2
,139,0,,250707 14:09:18,-0.2,0.1
,140,0,,250707 14:09:22,-0.2,0.1
,141,0,,250707 14:09:26,-0.2,0.1
,142,0,,250707 14:09:30,-0.2,0.1
,143,0,,250707 14:09:34,-0.2,0.1
,144,0,,250707 14:09:38,-0.2,0.2
,145,0,,250707 14:09:42,-0.2,0.2
,146,0,,250707 14:09:46,-0.2,0.1
,147,0,,250707 14:09:50,-0.2,0.1
,148,0,,250707 14:09:54,-0.2,0.2
,149,0,,250707 14:09:58,-0.2,0.1
,150,0,,250707 14:10:02,-0.2,0.1
,151,0,,250707 14:10:06,-0.2,0.1
,152,0,,250707 14:10:10,-0.2,0.1
,153,0,,250707 14:10:14,-0.2,0.1
,154,0,,250707 14:10:18,-0.2,0.1
,155,0,,250707 14:10:22,-0.2,0.1
,156,0,,250707 14:10:26,-0.2,0.2
,157,0,,250707 14:10:30,-0.2,0.1
,158,0,,250707 14:10:34,-0.2,0.1
,159,0,,250707 14:10:38,-0.2,0.1
,160,0,,250707 14:10:42,-0.2,0.2
,161,0,,250707 14:10:46,-0.2,0.1
,162,0,,250707 14:10:50,-0.2,0.1
,163,0,,250707 14:10:54,-0.2,0.2
,164,0,,250707 14:10:58,-0.2,0.1
,165,0,,250707 14:11:02,-0.2,0.1
,166,0,,250707 14:11:06,-0.2,0.1
,167,0,,250707 14:11:10,-0.2,0.1
,168,0,,250707 14:11:14,-0.2,0.1
,169,0,,250707 14:11:18,-0.2,0.1
,170,0,,250707 14:11:22,-0.2,0.1
,171,0,,250707 14:11:26,-0.2,0.1
,172,0,,250707 14:11:30,-0.2,0.2
,173,0,,250707 14:11:34,-0.2,0.2
,174,0,,250707 14:11:38,-0.2,0.2
,175,0,,250707 14:11:42,-0.2,0.2
,176,0,,250707 14:11:46,-0.2,0.2
,177,0,,250707 14:11:50,-0.2,0.2
,178,0,,250707 14:11:54,-0.2,0.2
,179,0,,250707 14:11:58,-0.2,0.2
,180,0,,250707 14:12:02,-0.2,0.2
,181,0,,250707 14:12:06,-0.2,0.2
,182,0,,250707 14:12:10,-0.2,0.2
,183,0,,250707 14:12:14,-0.2,0.2
,184,0,,250707 14:12:18,-0.2,0.2
,185,0,,250707 14:12:22,-0.2,0.2
,186,0,,250707 14:12:26,-0.2,0.2
,187,0,,250707 14:12:30,-0.2,0.2
,188,0,,250707 14:12:34,-0.2,0.2
,189,0,,250707 14:12:38,-0.2,0.2
,190,0,,250707 14:12:42,-0.2,0.2
,191,0,,250707 14:12:46,-0.2,0.2
,192,0,,250707 14:12:50,-0.2,0.2
,193,0,,250707 14:12:54,-0.2,0.2
,194,0,,250707 14:12:58,-0.2,0.2
,195,0,,250707 14:13:02,-0.2,0.2
,196,0,,250707 14:13:06,-0.2,0.2
,197,0,,250707 14:13:10,-0.2,0.2
,198,0,,250707 14:13:14,-0.2,0.2
,199,0,,250707 14:13:18,-0.2,0.2
,200,0,,250707 14:13:22,-0.2,0.1
,201,0,,250707 14:13:26,-0.2,0.2
,202,0,,250707 14:13:30,-0.2,0.2
,203,0,,250707 14:13:34,-0.2,0.2
,204,0,,250707 14:13:38,-0.2,0.2
,205,0,,250707 14:13:42,-0.2,0.2
,206,0,,250707 14:13:46,-0.2,0.2
,207,0,,250707 14:13:50,-0.2,0.2
,208,0,,250707 14:13:54,-0.2,0.2
,209,0,,250707 14:13:58,-0.2,0.2
,210,0,,250707 14:14:02,-0.2,0.2
,211,0,,250707 14:14:06,-0.2,0.2
,212,0,,250707 14:14:10,-0.2,0.2
,213,0,,250707 14:14:14,-0.2,0.2
,214,0,,250707 14:14:18,-0.2,0.2
,215,0,,250707 14:14:22,-0.2,0.2
,216,0,,250707 14:14:26,0,0.2
,217,0,,250707 14:14:30,0,0.2
,218,0,,250707 14:14:34,0,0.2
,219,0,,250707 14:14:38,0,0.2
,220,0,,250707 14:14:42,0,0.2
,221,0,,250707 14:14:46,0,0.2
,222,0,,250707 14:14:50,0,0.2
,223,0,,250707 14:14:54,0,0.2
,224,0,,250707 14:14:58,0,0.2
,225,0,,250707 14:15:02,0,0.2
