19621	X	Y	Z	Log_Result
1.255718	150	121.600000	20	0.353285
8.862594	150	87.200000	20	0.993991
9.869687	150	52.800000	20	1.036217
8.433480	150	18.400000	20	0.974672
5.534413	120	18.400000	20	0.815207
2.885285	120	52.800000	20	0.589423
1.846875	120	87.200000	20	0.454368
0.027721	120	121.600000	20	0.011875
0.983877	90	121.600000	20	0.297515
1.604421	90	87.200000	20	0.415711
1.097691	90	52.800000	20	0.321741
1.638967	90	18.400000	20	0.421434
3.201550	60	18.400000	20	0.623409
1.216189	60	52.800000	20	0.345607
1.987156	60	87.200000	20	0.475258
1.695005	60	121.600000	20	0.430560
0.183405	30	121.600000	20	0.073133
0.175220	30	87.200000	20	0.070119
0.377972	30	52.800000	20	0.139240
0.232979	30	18.400000	20	0.090956
10.044868	120	18.400000	50	1.043161
0.002301	120	52.800000	50	0.000998
0.101665	120	87.200000	50	0.042050
0.149503	120	121.600000	50	0.060510
0.090912	90	121.600000	50	0.037790
0.174603	90	87.200000	50	0.069891
0.705028	90	52.800000	50	0.231731
0.368751	90	18.400000	50	0.136325
2.022828	60	18.400000	50	0.480413
0.109706	60	52.800000	50	0.045208
0.790689	60	87.200000	50	0.253020
0.003761	60	121.600000	50	0.001630
0.008364	30	121.600000	50	0.003617
5.187622	30	87.200000	50	0.791524
0.359994	30	52.800000	50	0.133537
5.088296	30	18.400000	50	0.784496
67.169524	90	18.400000	80	1.833590
0.606842	90	52.800000	80	0.205973
11.188821	90	87.200000	80	1.085962
8.259884	90	121.600000	80	0.966606
0.423066	60	121.600000	80	0.153225
4.116470	60	87.200000	80	0.708970
2.671830	60	52.800000	80	0.564883
11.658775	60	18.400000	80	1.102392
2.202412	30	18.400000	80	0.505477
0.348066	30	52.800000	80	0.129711
0.025107	30	87.200000	80	0.010769
4.097222	30	121.600000	80	0.707334
29.774045	20	120.000000	98	1.488185
31.400322	20	100.000000	98	1.510549
30.975946	20	80.000000	98	1.504823
28.616535	20	60.000000	98	1.471534
23.513070	20	40.000000	98	1.389398
3.665143	20	20.000000	98	0.668865
0.130159	40	40.000000	98	0.053140
0.316190	40	60.000000	98	0.119318
1.170402	40	80.000000	98	0.336540
3.461917	40	100.000000	98	0.649521
4.039620	40	120.000000	98	0.702398
53.037243	60	100.000000	98	1.732693
55.165367	60	80.000000	98	1.749469
51.654959	60	60.000000	98	1.721439
45.810518	60	40.000000	98	1.670343
7.186700	60	20.000000	98	0.913109
23.844717	80	40.000000	98	1.395234
18.910612	80	60.000000	98	1.299085
14.018318	80	80.000000	98	1.176621
9.961339	80	100.000000	98	1.039864
6.973895	80	120.000000	98	0.901670
0.276764	89	100.000000	98	0.106110
0.449660	88	80.000000	98	0.161266
0.707012	87	60.000000	98	0.232237
1.095279	86	40.000000	98	0.321242
26.502713	85	20.000000	98	1.439376
19.359204	95	40.000000	98	1.308761
41.611807	95	60.000000	98	1.629530
70.736423	95	80.000000	98	1.855740
0.793845	112	120.000000	84	0.253785
2.471584	123	100.000000	74	0.540528
3.233697	123	80.000000	74	0.626720
5.198722	123	60.000000	74	0.792302
8.295697	123	40.000000	74	0.968282
0.112324	124	20.000000	66	0.046231
7.217567	135	40.000000	58	0.914743
7.505071	135	60.000000	58	0.929678
7.349476	135	80.000000	58	0.921659
6.605358	135	100.000000	58	0.881120
5.076717	136	120.000000	50	0.783669
8.088673	147	100.000000	42	0.958500
8.573753	147	80.000000	42	0.981082
9.402139	147	60.000000	42	1.017123
10.690671	147	40.000000	42	1.067839
12.244170	148	20.000000	34	1.122025
8.584520	159	40.000000	26	0.981570
7.948110	159	60.000000	26	0.951731
7.743995	159	80.000000	26	0.941710
7.571424	159	100.000000	26	0.933053
5.376852	160	120.000000	18	0.804606
3.845046	171	100.000000	10	0.685298
3.492747	171	80.000000	10	0.652512
2.701272	171	60.000000	10	0.568351
2.027721	171	40.000000	10	0.481116
