case,label,hours,percentile,threshold,n_components,largest_size
S1,T_17:34,3.56,90,0.9245237737009343,5,1414
S1,T_18:12,4.2,90,0.9245237737009343,22,223
S1,T_19:34,5.56,90,0.9245237737009343,17,3234
S1,T_21:00,7,90,0.9245237737009343,6,10493
S1,T_22:08,8.13,90,0.9245237737009343,2,36555
S1,T_22:38,8.63,90,0.9245237737009343,2,39601
S2,T_10:55,1.91,90,0.9245237737009343,0,0
S2,T_12:00,3,90,0.9245237737009343,2,12
S2,T_15:13,6.21,90,0.9245237737009343,11,121
S2,T_18:06,9.1,90,0.9245237737009343,9,3720
S2,T_20:37,11.61,90,0.9245237737009343,20,5868
S4,T_12:00,3,90,0.9245237737009343,3,11
S4,T_16:00,7,90,0.9245237737009343,13,189
S4,T_20:00,11,90,0.9245237737009343,14,5169
S4,T_20:30,11.5,90,0.9245237737009343,12,6744
