case,model,R2,AICc,BIC,SSE,Delta_AICc_vs_Logistic,fit_window_start_h,fit_window_end_h,model_parameters
S1,Logistic,0.9915,117.066,111.904,17359301.24,0.000,3.56,8.63,"K=47776.505; r=2.22311 h^-1; t0=7.51337 h"
S1,Exponential,0.9565,121.488,118.380,88746974.97,4.422,3.56,8.63,"a=135.00966; lambda=0.67883 h^-1"
S1,Linear,0.8348,130.827,127.718,336943426.46,13.761,3.56,8.63,"a=8490.61834; b=-36050.98417"
S1,Power-law,0.9704,118.791,115.683,60374318.96,1.725,3.56,8.63,"a=434.81153; b=2.84226; t_positive=t-t_min+0.1"
S2,Logistic,1.0000,46.094,40.923,124.99,0.000,1.91,11.61,"K=6550.85448; r=1.42218 h^-1; t0=8.75375 h"
S2,Exponential,0.9291,75.603,72.822,2495673.04,29.509,1.91,11.61,"a=151.17924; lambda=0.32687 h^-1"
S2,Linear,0.8627,78.906,76.125,4831710.24,32.812,1.91,11.61,"a=677.15789; b=-2172.78714"
S2,Power-law,0.9627,72.389,69.608,1312260.18,26.295,1.91,11.61,"a=32.57950; b=2.33153; t_positive=t-t_min+0.1"
S4,Logistic,0.9989,72.633,68.008,54030.11,0.000,3.00,11.50,"K=10606.53023; r=1.04449 h^-1; t0=10.37095 h"
S4,Exponential,0.9825,79.222,76.805,857833.45,6.589,3.00,11.50,"a=15.13166; lambda=0.54832 h^-1"
S4,Linear,0.6616,97.011,94.594,16632760.96,24.378,3.00,11.50,"a=867.51013; b=-4428.70685"
S4,Power-law,0.9938,73.023,70.607,305263.52,0.390,3.00,11.50,"a=1.85811; b=3.90188; t_positive=t-t_min+0.1"
