case,curve,time_h_from_rainfall_onset,value,unit,y_axis,absolute_time,relative_displacement_mm,main_damage_core_size_voxels
S1,blue_surface_displacement,0,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.001111,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.002222,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.003333,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.004444,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.005556,0,mm,left_mm,2025-7-7 14:00,0,
S1,blue_surface_displacement,0.006667,-1,mm,left_mm,2025-7-7 14:00,-1,
S1,blue_surface_displacement,0.007778,-0.8,mm,left_mm,2025-7-7 14:00,-0.8,
S1,blue_surface_displacement,0.008889,-0.8,mm,left_mm,2025-7-7 14:00,-0.8,
S1,blue_surface_displacement,0.01,-0.7,mm,left_mm,2025-7-7 14:00,-0.7,
S1,blue_surface_displacement,0.011111,-0.7,mm,left_mm,2025-7-7 14:00,-0.7,
S1,blue_surface_displacement,0.012222,-0.7,mm,left_mm,2025-7-7 14:00,-0.7,
S1,blue_surface_displacement,0.013333,-0.6,mm,left_mm,2025-7-7 14:00,-0.6,
S1,blue_surface_displacement,0.014444,-0.6,mm,left_mm,2025-7-7 14:00,-0.6,
S1,blue_surface_displacement,0.015556,-0.5,mm,left_mm,2025-7-7 14:00,-0.5,
S1,blue_surface_displacement,0.016667,-0.5,mm,left_mm,2025-7-7 14:01,-0.5,
S1,blue_surface_displacement,0.017778,-0.5,mm,left_mm,2025-7-7 14:01,-0.5,
S1,blue_surface_displacement,0.018889,-0.5,mm,left_mm,2025-7-7 14:01,-0.5,
S1,blue_surface_displacement,0.02,-0.5,mm,left_mm,2025-7-7 14:01,-0.5,
S1,blue_surface_displacement,0.021111,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.022222,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.023333,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.024444,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.025556,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.026667,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.027778,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.028889,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.03,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.031111,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.032222,-0.4,mm,left_mm,2025-7-7 14:01,-0.4,
S1,blue_surface_displacement,0.033333,-0.4,mm,left_mm,2025-7-7 14:02,-0.4,
S1,blue_surface_displacement,0.034444,-0.4,mm,left_mm,2025-7-7 14:02,-0.4,
S1,blue_surface_displacement,0.035556,-0.4,mm,left_mm,2025-7-7 14:02,-0.4,
S1,blue_surface_displacement,0.036667,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.037778,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.038889,-0.4,mm,left_mm,2025-7-7 14:02,-0.4,
S1,blue_surface_displacement,0.04,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.041111,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.042222,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.043333,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.044444,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.045556,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.046667,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.047778,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.048889,-0.3,mm,left_mm,2025-7-7 14:02,-0.3,
S1,blue_surface_displacement,0.05,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.051111,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.052222,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.053333,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.054444,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.055556,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.056667,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.057778,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.058889,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.06,-0.2,mm,left_mm,2025-7-7 14:03,-0.2,
S1,blue_surface_displacement,0.061111,-0.2,mm,left_mm,2025-7-7 14:03,-0.2,
S1,blue_surface_displacement,0.062222,-0.2,mm,left_mm,2025-7-7 14:03,-0.2,
S1,blue_surface_displacement,0.063333,-0.2,mm,left_mm,2025-7-7 14:03,-0.2,
S1,blue_surface_displacement,0.064444,-0.3,mm,left_mm,2025-7-7 14:03,-0.3,
S1,blue_surface_displacement,0.065556,-0.2,mm,left_mm,2025-7-7 14:03,-0.2,
S1,blue_surface_displacement,0.066667,-0.3,mm,left_mm,2025-7-7 14:04,-0.3,
S1,blue_surface_displacement,0.067778,-0.3,mm,left_mm,2025-7-7 14:04,-0.3,
S1,blue_surface_displacement,0.068889,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.07,-0.3,mm,left_mm,2025-7-7 14:04,-0.3,
S1,blue_surface_displacement,0.071111,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.072222,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.073333,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.074444,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.075556,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.076667,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.077778,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.078889,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.08,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.081111,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.082222,-0.2,mm,left_mm,2025-7-7 14:04,-0.2,
S1,blue_surface_displacement,0.083333,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.084444,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.085556,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.086667,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.087778,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.088889,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.09,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.091111,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.092222,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.093333,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.094444,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.095556,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.096667,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.097778,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.098889,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.1,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.101111,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
