PWP,H3,,MS,H3,,VWC,H3
Times,-0.25m,,Times,-0.25m,,Times,-0.25m
00:00.0,0.02673,,2025-7-7 14:00,-42.59,,2025-7-7 14:00,0.232
00:01.0,0.02731,,2025-7-7 14:00,-42.69,,2025-7-7 14:00,0.232
00:02.0,0.02715,,2025-7-7 14:00,-42.81,,2025-7-7 14:00,0.232
00:03.0,0.02712,,2025-7-7 14:00,-42.5,,2025-7-7 14:00,0.232
00:04.0,0.02744,,2025-7-7 14:00,-42.81,,2025-7-7 14:00,0.232
00:05.0,0.02749,,2025-7-7 14:00,-42.69,,2025-7-7 14:00,0.232
00:06.0,0.02759,,2025-7-7 14:01,-42.59,,2025-7-7 14:01,0.232
00:07.0,0.02809,,2025-7-7 14:01,-42.59,,2025-7-7 14:01,0.232
00:08.0,0.02764,,2025-7-7 14:01,-42.5,,2025-7-7 14:01,0.232
00:09.0,0.02755,,2025-7-7 14:01,-42.59,,2025-7-7 14:01,0.232
00:10.0,0.02837,,2025-7-7 14:01,-42.59,,2025-7-7 14:01,0.232
00:11.0,0.02757,,2025-7-7 14:01,-42.69,,2025-7-7 14:01,0.232
00:12.0,0.02811,,2025-7-7 14:02,-42.81,,2025-7-7 14:02,0.232
00:13.0,0.02813,,2025-7-7 14:02,-42.69,,2025-7-7 14:02,0.232
00:14.0,0.0282,,2025-7-7 14:02,-42.69,,2025-7-7 14:02,0.232
00:15.0,0.02816,,2025-7-7 14:02,-42.69,,2025-7-7 14:02,0.232
00:16.0,0.02783,,2025-7-7 14:02,-42.69,,2025-7-7 14:02,0.232
00:17.0,0.02807,,2025-7-7 14:02,-43,,2025-7-7 14:02,0.233
00:18.0,0.02752,,2025-7-7 14:03,-42.81,,2025-7-7 14:03,0.232
00:19.0,0.02801,,2025-7-7 14:03,-42.69,,2025-7-7 14:03,0.233
00:20.0,0.02801,,2025-7-7 14:03,-42.81,,2025-7-7 14:03,0.232
00:21.0,0.0277,,2025-7-7 14:03,-42.81,,2025-7-7 14:03,0.233
00:22.0,0.02815,,2025-7-7 14:03,-42.59,,2025-7-7 14:03,0.232
00:23.0,0.02781,,2025-7-7 14:03,-42.81,,2025-7-7 14:03,0.232
00:24.0,0.02807,,2025-7-7 14:04,-42.91,,2025-7-7 14:04,0.232
00:25.0,0.02784,,2025-7-7 14:04,-42.59,,2025-7-7 14:04,0.233
00:26.0,0.02828,,2025-7-7 14:04,-42.59,,2025-7-7 14:04,0.232
00:27.0,0.02816,,2025-7-7 14:04,-42.5,,2025-7-7 14:04,0.232
00:28.0,0.02802,,2025-7-7 14:04,-42.69,,2025-7-7 14:04,0.233
00:29.0,0.02832,,2025-7-7 14:04,-42.59,,2025-7-7 14:04,0.233
00:30.0,0.0284,,2025-7-7 14:05,-42.81,,2025-7-7 14:05,0.232
00:31.0,0.02839,,2025-7-7 14:05,-42.81,,2025-7-7 14:05,0.233
00:32.0,0.02803,,2025-7-7 14:05,-42.69,,2025-7-7 14:05,0.232
00:33.0,0.02834,,2025-7-7 14:05,-42.59,,2025-7-7 14:05,0.232
00:34.0,0.02829,,2025-7-7 14:05,-42.91,,2025-7-7 14:05,0.233
00:35.0,0.02803,,2025-7-7 14:05,-42.69,,2025-7-7 14:05,0.233
00:36.0,0.02819,,2025-7-7 14:06,-42.59,,2025-7-7 14:06,0.232
00:37.0,0.02853,,2025-7-7 14:06,-42.59,,2025-7-7 14:06,0.233
00:38.0,0.0283,,2025-7-7 14:06,-42.91,,2025-7-7 14:06,0.232
00:39.0,0.02842,,2025-7-7 14:06,-42.81,,2025-7-7 14:06,0.233
00:40.0,0.02875,,2025-7-7 14:06,-42.91,,2025-7-7 14:06,0.233
00:41.0,0.02847,,2025-7-7 14:06,-42.69,,2025-7-7 14:06,0.234
00:42.0,0.02877,,2025-7-7 14:07,-42.5,,2025-7-7 14:07,0.233
00:43.0,0.0287,,2025-7-7 14:07,-42.69,,2025-7-7 14:07,0.233
00:44.0,0.02881,,2025-7-7 14:07,-42.69,,2025-7-7 14:07,0.233
00:45.0,0.02885,,2025-7-7 14:07,-42.69,,2025-7-7 14:07,0.233
00:46.0,0.02904,,2025-7-7 14:07,-42.81,,2025-7-7 14:07,0.233
00:47.0,0.02906,,2025-7-7 14:07,-42.81,,2025-7-7 14:07,0.234
00:48.0,0.02863,,2025-7-7 14:08,-42.5,,2025-7-7 14:08,0.233
00:49.0,0.0292,,2025-7-7 14:08,-42.81,,2025-7-7 14:08,0.233
00:50.0,0.02877,,2025-7-7 14:08,-42.91,,2025-7-7 14:08,0.234
00:51.0,0.02836,,2025-7-7 14:08,-42.81,,2025-7-7 14:08,0.233
00:52.0,0.02887,,2025-7-7 14:08,-42.69,,2025-7-7 14:08,0.234
00:53.0,0.02876,,2025-7-7 14:08,-42.69,,2025-7-7 14:08,0.233
00:54.0,0.02871,,2025-7-7 14:09,-42.81,,2025-7-7 14:09,0.234
00:55.0,0.02911,,2025-7-7 14:09,-42.81,,2025-7-7 14:09,0.234
00:56.0,0.02891,,2025-7-7 14:09,-42.69,,2025-7-7 14:09,0.234
00:57.0,0.02923,,2025-7-7 14:09,-42.5,,2025-7-7 14:09,0.234
00:58.0,0.0295,,2025-7-7 14:09,-42.91,,2025-7-7 14:09,0.234
00:59.0,0.02952,,2025-7-7 14:09,-42.69,,2025-7-7 14:09,0.234
01:00.0,0.02936,,2025-7-7 14:10,-42.59,,2025-7-7 14:10,0.233
01:01.0,0.02966,,2025-7-7 14:10,-42.69,,2025-7-7 14:10,0.234
01:02.0,0.02961,,2025-7-7 14:10,-42.5,,2025-7-7 14:10,0.234
01:03.0,0.02957,,2025-7-7 14:10,-42.69,,2025-7-7 14:10,0.233
01:04.0,0.02957,,2025-7-7 14:10,-42.81,,2025-7-7 14:10,0.233
01:05.0,0.02954,,2025-7-7 14:10,-42.69,,2025-7-7 14:10,0.233
01:06.0,0.02963,,2025-7-7 14:11,-42.81,,2025-7-7 14:11,0.234
01:07.0,0.02977,,2025-7-7 14:11,-42.69,,2025-7-7 14:11,0.233
01:08.0,0.02983,,2025-7-7 14:11,-42.81,,2025-7-7 14:11,0.234
01:09.0,0.02975,,2025-7-7 14:11,-42.69,,2025-7-7 14:11,0.232
01:10.0,0.03003,,2025-7-7 14:11,-42.81,,2025-7-7 14:11,0.233
01:11.0,0.02983,,2025-7-7 14:11,-42.69,,2025-7-7 14:11,0.234
01:12.0,0.02994,,2025-7-7 14:12,-42.69,,2025-7-7 14:12,0.233
01:13.0,0.03017,,2025-7-7 14:12,-42.69,,2025-7-7 14:12,0.234
01:14.0,0.03007,,2025-7-7 14:12,-42.5,,2025-7-7 14:12,0.233
01:15.0,0.03008,,2025-7-7 14:12,-42.59,,2025-7-7 14:12,0.233
01:16.0,0.02993,,2025-7-7 14:12,-42.81,,2025-7-7 14:12,0.234
01:17.0,0.03021,,2025-7-7 14:12,-43,,2025-7-7 14:12,0.233
01:18.0,0.03029,,2025-7-7 14:13,-42.69,,2025-7-7 14:13,0.234
01:19.0,0.03,,2025-7-7 14:13,-42.69,,2025-7-7 14:13,0.234
01:20.0,0.03007,,2025-7-7 14:13,-42.81,,2025-7-7 14:13,0.234
01:21.0,0.03016,,2025-7-7 14:13,-42.69,,2025-7-7 14:13,0.234
01:22.0,0.03017,,2025-7-7 14:13,-42.5,,2025-7-7 14:13,0.233
01:23.0,0.03041,,2025-7-7 14:13,-42.69,,2025-7-7 14:13,0.233
01:24.0,0.03038,,2025-7-7 14:14,-42.69,,2025-7-7 14:14,0.233
01:25.0,0.03052,,2025-7-7 14:14,-42.59,,2025-7-7 14:14,0.234
01:26.0,0.03026,,2025-7-7 14:14,-42.69,,2025-7-7 14:14,0.234
01:27.0,0.02998,,2025-7-7 14:14,-42.59,,2025-7-7 14:14,0.234
01:28.0,0.03021,,2025-7-7 14:14,-42.59,,2025-7-7 14:14,0.234
01:29.0,0.02975,,2025-7-7 14:14,-42.81,,2025-7-7 14:14,0.234
01:30.0,0.02978,,2025-7-7 14:15,-42.69,,2025-7-7 14:15,0.234
01:31.0,0.0302,,2025-7-7 14:15,-42.59,,2025-7-7 14:15,0.234
01:32.0,0.03078,,2025-7-7 14:15,-42.81,,2025-7-7 14:15,0.235
01:33.0,0.03047,,2025-7-7 14:15,-42.69,,2025-7-7 14:15,0.234
01:34.0,0.03049,,2025-7-7 14:15,-42.69,,2025-7-7 14:15,0.234
01:35.0,0.03021,,2025-7-7 14:15,-42.69,,2025-7-7 14:15,0.234
01:36.0,0.03055,,2025-7-7 14:16,-42.59,,2025-7-7 14:16,0.234
01:37.0,0.03048,,2025-7-7 14:16,-42.69,,2025-7-7 14:16,0.234
01:38.0,0.03002,,2025-7-7 14:16,-42.69,,2025-7-7 14:16,0.234
01:39.0,0.03037,,2025-7-7 14:16,-42.69,,2025-7-7 14:16,0.234
01:40.0,0.03005,,2025-7-7 14:16,-42.69,,2025-7-7 14:16,0.234
01:41.0,0.02979,,2025-7-7 14:16,-42.81,,2025-7-7 14:16,0.234
01:42.0,0.03005,,2025-7-7 14:17,-42.81,,2025-7-7 14:17,0.234
01:43.0,0.03083,,2025-7-7 14:17,-42.69,,2025-7-7 14:17,0.234
01:44.0,0.03043,,2025-7-7 14:17,-42.81,,2025-7-7 14:17,0.234
01:45.0,0.02976,,2025-7-7 14:17,-42.69,,2025-7-7 14:17,0.234
01:46.0,0.03035,,2025-7-7 14:17,-42.69,,2025-7-7 14:17,0.234
01:47.0,0.03031,,2025-7-7 14:17,-42.69,,2025-7-7 14:17,0.235
01:48.0,0.03122,,2025-7-7 14:18,-42.81,,2025-7-7 14:18,0.234
01:49.0,0.031,,2025-7-7 14:18,-42.69,,2025-7-7 14:18,0.234
01:50.0,0.0308,,2025-7-7 14:18,-42.69,,2025-7-7 14:18,0.234
01:51.0,0.03067,,2025-7-7 14:18,-42.59,,2025-7-7 14:18,0.235
01:52.0,0.03062,,2025-7-7 14:18,-42.4,,2025-7-7 14:18,0.234
01:53.0,0.03076,,2025-7-7 14:18,-42.69,,2025-7-7 14:18,0.235
01:54.0,0.03058,,2025-7-7 14:19,-42.59,,2025-7-7 14:19,0.234
01:55.0,0.03079,,2025-7-7 14:19,-42.91,,2025-7-7 14:19,0.234
01:56.0,0.03056,,2025-7-7 14:19,-42.69,,2025-7-7 14:19,0.235
01:57.0,0.03075,,2025-7-7 14:19,-42.59,,2025-7-7 14:19,0.235
01:58.0,0.03109,,2025-7-7 14:19,-42.91,,2025-7-7 14:19,0.234
01:59.0,0.03123,,2025-7-7 14:19,-42.59,,2025-7-7 14:19,0.234
02:00.0,0.03105,,2025-7-7 14:20,-42.81,,2025-7-7 14:20,0.235
02:01.0,0.03122,,2025-7-7 14:20,-42.81,,2025-7-7 14:20,0.234
02:02.0,0.03114,,2025-7-7 14:20,-42.81,,2025-7-7 14:20,0.234
02:03.0,0.0311,,2025-7-7 14:20,-42.59,,2025-7-7 14:20,0.234
02:04.0,0.03121,,2025-7-7 14:20,-42.59,,2025-7-7 14:20,0.234
02:05.0,0.03109,,2025-7-7 14:20,-42.59,,2025-7-7 14:20,0.235
02:06.0,0.03104,,2025-7-7 14:21,-42.81,,2025-7-7 14:21,0.234
02:07.0,0.03137,,2025-7-7 14:21,-42.81,,2025-7-7 14:21,0.234
02:08.0,0.03179,,2025-7-7 14:21,-42.69,,2025-7-7 14:21,0.235
02:09.0,0.03141,,2025-7-7 14:21,-42.59,,2025-7-7 14:21,0.235
02:10.0,0.03179,,2025-7-7 14:21,-42.59,,2025-7-7 14:21,0.234
02:11.0,0.03182,,2025-7-7 14:21,-42.69,,2025-7-7 14:21,0.234
02:12.0,0.03182,,2025-7-7 14:22,-42.69,,2025-7-7 14:22,0.234
02:13.0,0.03186,,2025-7-7 14:22,-42.59,,2025-7-7 14:22,0.235
02:14.0,0.03207,,2025-7-7 14:22,-42.81,,2025-7-7 14:22,0.235
02:15.0,0.03183,,2025-7-7 14:22,-42.81,,2025-7-7 14:22,0.235
02:16.0,0.03163,,2025-7-7 14:22,-42.59,,2025-7-7 14:22,0.235
02:17.0,0.03183,,2025-7-7 14:22,-42.59,,2025-7-7 14:22,0.235
02:18.0,0.03179,,2025-7-7 14:23,-42.69,,2025-7-7 14:23,0.234
02:19.0,0.0316,,2025-7-7 14:23,-42.69,,2025-7-7 14:23,0.235
02:20.0,0.03208,,2025-7-7 14:23,-42.81,,2025-7-7 14:23,0.234
02:21.0,0.03183,,2025-7-7 14:23,-42.69,,2025-7-7 14:23,0.234
02:22.0,0.03178,,2025-7-7 14:23,-42.5,,2025-7-7 14:23,0.235
02:23.0,0.03181,,2025-7-7 14:23,-42.81,,2025-7-7 14:23,0.235
02:24.0,0.03186,,2025-7-7 14:24,-42.5,,2025-7-7 14:24,0.235
02:25.0,0.03133,,2025-7-7 14:24,-42.59,,2025-7-7 14:24,0.234
02:26.0,0.0319,,2025-7-7 14:24,-42.5,,2025-7-7 14:24,0.235
02:27.0,0.03173,,2025-7-7 14:24,-42.69,,2025-7-7 14:24,0.234
02:28.0,0.03189,,2025-7-7 14:24,-42.81,,2025-7-7 14:24,0.234
02:29.0,0.03153,,2025-7-7 14:24,-42.81,,2025-7-7 14:24,0.235
02:30.0,0.03206,,2025-7-7 14:25,-42.59,,2025-7-7 14:25,0.234
02:31.0,0.03207,,2025-7-7 14:25,-42.69,,2025-7-7 14:25,0.235
02:32.0,0.03207,,2025-7-7 14:25,-42.5,,2025-7-7 14:25,0.235
02:33.0,0.03218,,2025-7-7 14:25,-42.59,,2025-7-7 14:25,0.234
02:34.0,0.03186,,2025-7-7 14:25,-42.69,,2025-7-7 14:25,0.234
02:35.0,0.03173,,2025-7-7 14:25,-42.69,,2025-7-7 14:25,0.235
02:36.0,0.03179,,2025-7-7 14:26,-42.59,,2025-7-7 14:26,0.234
02:37.0,0.03191,,2025-7-7 14:26,-42.69,,2025-7-7 14:26,0.235
02:38.0,0.03218,,2025-7-7 14:26,-42.81,,2025-7-7 14:26,0.234
02:39.0,0.03204,,2025-7-7 14:26,-42.59,,2025-7-7 14:26,0.234
02:40.0,0.03229,,2025-7-7 14:26,-42.69,,2025-7-7 14:26,0.235
