Time,Ch272-274
06:54.0,0
06:55.0,-0.000482921
06:56.0,-0.000459692
06:57.0,-0.000449585
06:58.0,-0.000480598
06:59.0,-0.000527202
07:00.0,-0.000544019
07:01.0,-0.000522821
07:02.0,-0.000515823
07:03.0,-0.000515088
07:04.0,-0.000541984
07:05.0,-0.000542703
07:06.0,-0.000532666
07:07.0,-0.000555921
07:08.0,-0.000555514
07:09.0,-0.000573228
07:10.0,-0.000595112
07:11.0,-0.000592483
07:12.0,-0.000593551
07:13.0,-0.000591637
07:14.0,-0.000596762
07:15.0,-0.000624252
07:16.0,-0.000613221
07:17.0,-0.000608131
07:18.0,-0.000611153
07:19.0,-0.000593738
07:20.0,-0.000567473
07:21.0,-0.000535205
07:22.0,-0.000539586
07:23.0,-0.000544094
07:24.0,-0.000536819
07:24.9,-0.000551169
07:25.9,-0.00053963
07:26.9,-0.000559695
07:27.9,-0.000551651
07:28.9,-0.000556241
07:29.9,-0.000542804
07:30.9,-0.000521706
07:31.9,-0.000499756
07:32.9,-0.000489705
07:33.9,-0.000511087
07:34.9,-0.000527372
07:35.9,-0.000521587
07:36.9,-0.000544256
07:37.9,-0.000568862
07:38.9,-0.000584521
07:39.9,-0.000581665
07:40.9,-0.00057321
07:41.9,-0.000558996
07:42.9,-0.000562723
07:43.9,-0.000564754
07:44.9,-0.000603736
07:45.9,-0.0006112
07:46.9,-0.000615448
07:47.9,-0.000584785
07:48.9,-0.000587673
07:49.9,-0.000582483
07:50.9,-0.000589498
07:51.9,-0.000543951
07:52.9,-0.000540653
07:53.9,-0.000561047
07:54.9,-0.000580369
07:55.9,-0.000588615
07:56.9,-0.00057837
07:57.9,-0.000573235
07:58.9,-0.000559166
07:59.9,-0.000579967
08:00.9,-0.000576413
08:01.9,-0.000583063
08:02.9,-0.000596867
08:03.9,-0.000601081
08:04.9,-0.000647106
08:05.9,-0.0006577
08:06.9,-0.000653208
08:07.9,-0.000669961
08:08.9,-0.000693451
08:09.9,-0.000700206
08:10.9,-0.000713274
08:11.9,-0.000732409
08:12.9,-0.000712908
08:13.9,-0.000699734
08:14.9,-0.000691536
08:15.9,-0.000718212
08:16.9,-0.000736465
08:17.9,-0.000753877
08:18.9,-0.000773137
08:19.9,-0.000758997
08:20.9,-0.000758576
08:21.9,-0.000740779
08:22.9,-0.000749231
08:23.9,-0.000745816
08:24.9,-0.000735822
08:25.8,-0.000716535
08:26.8,-0.000699443
08:27.8,-0.000701026
08:28.8,-0.000691022
08:29.8,-0.000660514
08:30.8,-0.000681802
08:31.8,-0.000696475
08:32.8,-0.000680908
08:33.8,-0.000669248
08:34.8,-0.0006835
08:35.8,-0.000684898
08:36.8,-0.00069245
08:37.8,-0.000705012
08:38.8,-0.000692576
08:39.8,-0.000697579
08:40.8,-0.000666578
08:41.8,-0.000682422
08:42.8,-0.000696326
08:43.8,-0.000633754
08:44.8,-0.000620047
08:45.8,-0.000637002
08:46.8,-0.000654248
08:47.8,-0.000685649
08:48.8,-0.000697567
08:49.8,-0.000718649
08:50.8,-0.000716959
08:51.8,-0.000711446
08:52.8,-0.000723639
08:53.8,-0.000714665
08:54.8,-0.000694334
08:55.8,-0.000688847
08:56.8,-0.000732107
08:57.8,-0.000718521
08:58.8,-0.000703811
08:59.8,-0.000701745
09:00.8,-0.000694076
09:01.8,-0.000682067
09:02.8,-0.000657173
09:03.8,-0.000664772
09:04.8,-0.000669491
09:05.8,-0.000675597
09:06.8,-0.000707904
09:07.8,-0.000700207
09:08.8,-0.000725366
09:09.8,-0.000727018
09:10.8,-0.000722071
09:11.8,-0.000728127
09:12.8,-0.000766902
09:13.8,-0.000760142
09:14.8,-0.000775684
09:15.8,-0.000761119
09:16.8,-0.000744276
09:17.8,-0.000758262
09:18.8,-0.000754698
09:19.8,-0.000749546
09:20.8,-0.000740739
09:21.8,-0.000714155
09:22.8,-0.000716477
09:23.8,-0.000708258
09:24.8,-0.000707746
09:25.8,-0.000713606
09:26.7,-0.000716847
09:27.7,-0.000764151
09:28.7,-0.000800947
09:29.7,-0.000810492
09:30.7,-0.000796005
09:31.7,-0.000781708
09:32.7,-0.000774149
09:33.7,-0.00080532
09:34.7,-0.000801552
09:35.7,-0.000789925
09:36.7,-0.000780493
09:37.7,-0.000788285
09:38.7,-0.000772225
09:39.7,-0.000771774
09:40.7,-0.000791809
09:41.7,-0.000773529
09:42.7,-0.000739763
09:43.7,-0.00070509
09:44.7,-0.000688784
09:45.7,-0.000693279
09:46.7,-0.000703111
09:47.7,-0.000707686
09:48.7,-0.000701784
09:49.7,-0.000682966
09:50.7,-0.000659794
09:51.7,-0.000622452
09:52.7,-0.000652912
09:53.7,-0.000664
09:54.7,-0.000629507
09:55.7,-0.00064132
09:56.7,-0.00061741
09:57.7,-0.000621798
09:58.7,-0.000610749
09:59.7,-0.000630381
10:00.7,-0.000666946
10:01.7,-0.000687066
10:02.7,-0.000692169
10:03.7,-0.000677654
10:04.7,-0.000675506
10:05.7,-0.000698451
10:06.7,-0.000711887
10:07.7,-0.000730698
10:08.7,-0.000768018
10:09.7,-0.000812059
10:10.7,-0.00077247
10:11.7,-0.000750443
10:12.7,-0.000696695
10:13.7,-0.000673632
10:14.7,-0.000649361
10:15.7,-0.000643729
10:16.7,-0.000652076
10:17.7,-0.000642554
10:18.7,-0.000641835
10:19.7,-0.000603715
10:20.7,-0.000589196
10:21.7,-0.000566221
10:22.7,-0.000530436
10:23.7,-0.000506304
10:24.7,-0.000493306
10:25.7,-0.000456865
10:26.7,-0.000405966
10:27.6,-0.000392609
10:28.6,-0.000379342
10:29.6,-0.000380297
10:30.6,-0.000367736
10:31.6,-0.00039308
10:32.6,-0.000413979
10:33.6,-0.000415097
10:34.6,-0.000414364
10:35.6,-0.000399508
10:36.6,-0.00034773
10:37.6,-0.000334797
10:38.6,-0.000329286
10:39.6,-0.000300782
10:40.6,-0.000293822
10:41.6,-0.000292072
10:42.6,-0.000280505
10:43.6,-0.000272126
10:44.6,-0.000236931
10:45.6,-0.000210109
10:46.6,-0.000216159
10:47.6,-0.000228006
10:48.6,-0.000222469
10:49.6,-0.000213573
10:50.6,-0.000197298
10:51.6,-0.000235667
10:52.6,-0.000324763
10:53.6,-0.000366511
10:54.6,-0.000413179
10:55.6,-0.000483704
10:56.6,-0.000533321
10:57.6,-0.000485104
10:58.6,-0.000459167
10:59.6,-0.000423804
11:00.6,-0.000426546
11:01.6,-0.000399636
11:02.6,-0.000364808
11:03.6,-0.000355424
11:04.6,-0.000372631
11:05.6,-0.000368608
11:06.6,-0.000334446
11:07.6,-0.000346016
