VWC,H4,MS,PWP,H4
Times,-0.50m,-0.50m,Times,-0.50m
2025-7-7 14:00,0.207,-47.1,00:00.0,0.00769
2025-7-7 14:00,0.207,-47,00:01.0,0.00799
2025-7-7 14:00,0.207,-47,00:02.0,0.00759
2025-7-7 14:00,0.207,-46.9,00:03.0,0.00762
2025-7-7 14:00,0.207,-47,00:04.0,0.00748
2025-7-7 14:00,0.207,-47.1,00:05.0,0.00706
2025-7-7 14:01,0.207,-47,00:06.0,0.00762
2025-7-7 14:01,0.207,-46.9,00:07.0,0.00728
2025-7-7 14:01,0.207,-47.2,00:08.0,0.00774
2025-7-7 14:01,0.207,-47,00:09.0,0.00836
2025-7-7 14:01,0.207,-47,00:10.0,0.00785
2025-7-7 14:01,0.207,-47,00:11.0,0.00748
2025-7-7 14:02,0.207,-47.1,00:12.0,0.0077
2025-7-7 14:02,0.207,-47.2,00:13.0,0.00781
2025-7-7 14:02,0.207,-47.1,00:14.0,0.00778
2025-7-7 14:02,0.207,-47.1,00:15.0,0.00777
2025-7-7 14:02,0.207,-47,00:16.0,0.00752
2025-7-7 14:02,0.207,-46.9,00:17.0,0.00747
2025-7-7 14:03,0.207,-47.1,00:18.0,0.00776
2025-7-7 14:03,0.207,-47.2,00:19.0,0.00797
2025-7-7 14:03,0.207,-47,00:20.0,0.00806
2025-7-7 14:03,0.207,-47.1,00:21.0,0.00787
2025-7-7 14:03,0.207,-47,00:22.0,0.00768
2025-7-7 14:03,0.207,-47,00:23.0,0.00762
2025-7-7 14:04,0.207,-47,00:24.0,0.00759
2025-7-7 14:04,0.207,-47.1,00:25.0,0.00784
2025-7-7 14:04,0.206,-47,00:26.0,0.00807
2025-7-7 14:04,0.207,-47.1,00:27.0,0.00788
2025-7-7 14:04,0.207,-47,00:28.0,0.00796
2025-7-7 14:04,0.207,-47,00:29.0,0.00798
2025-7-7 14:05,0.207,-47.2,00:30.0,0.00769
2025-7-7 14:05,0.207,-47.1,00:31.0,0.00712
2025-7-7 14:05,0.206,-47.2,00:32.0,0.0077
2025-7-7 14:05,0.206,-47,00:33.0,0.00771
2025-7-7 14:05,0.207,-47,00:34.0,0.00837
2025-7-7 14:05,0.207,-47,00:35.0,0.00793
2025-7-7 14:06,0.206,-47,00:36.0,0.00817
2025-7-7 14:06,0.206,-47,00:37.0,0.00842
2025-7-7 14:06,0.207,-47,00:38.0,0.00891
2025-7-7 14:06,0.206,-47,00:39.0,0.00876
2025-7-7 14:06,0.206,-47,00:40.0,0.00859
2025-7-7 14:06,0.206,-47.1,00:41.0,0.00828
2025-7-7 14:07,0.206,-47,00:42.0,0.00828
2025-7-7 14:07,0.206,-46.9,00:43.0,0.00817
2025-7-7 14:07,0.207,-46.9,00:44.0,0.00781
2025-7-7 14:07,0.206,-47.1,00:45.0,0.0077
2025-7-7 14:07,0.206,-47.1,00:46.0,0.00808
