Time,Ch245-247
06:54.0,0
06:55.0,-1.64E-05
06:56.0,-2.31E-05
06:57.0,-2.29E-05
06:58.0,-1.80E-05
06:59.0,3.755748e-05
07:00.0,5.668411e-05
07:01.0,4.9877977e-05
07:02.0,6.565705e-05
07:03.0,5.8315014e-05
07:04.0,4.6196626e-05
07:05.0,5.08005e-05
07:06.0,4.856654e-05
07:07.0,8.2230246e-05
07:08.0,8.702919e-05
07:09.0,7.97665e-05
07:10.0,7.2402974e-05
07:11.0,5.8732672e-05
07:12.0,6.6814115e-05
07:13.0,9.014618e-05
07:14.0,7.186581e-05
07:15.0,8.213101e-05
07:16.0,0.000106036
07:17.0,0.000100867
07:18.0,9.320604e-05
07:19.0,7.6655466e-05
07:20.0,8.6474385e-05
07:21.0,8.4774816e-05
07:22.0,0.000108391
07:23.0,0.000129681
07:24.0,0.000132306
07:24.9,0.000108088
07:25.9,5.974102e-05
07:26.9,4.8044687e-05
07:27.9,5.8076654e-05
07:28.9,6.164473e-05
07:29.9,6.920234e-05
07:30.9,8.847438e-05
07:31.9,0.000104305
07:32.9,0.000103598
07:33.9,8.5875836e-05
07:34.9,6.79394e-05
07:35.9,8.599827e-05
07:36.9,0.000102821
07:37.9,9.381739e-05
07:38.9,9.664127e-05
07:39.9,8.9961926e-05
07:40.9,9.525021e-05
07:41.9,8.9689696e-05
07:42.9,6.5983724e-05
07:43.9,3.8023278e-05
07:44.9,4.5692417e-05
07:45.9,4.8885555e-05
07:46.9,3.6763122e-05
07:47.9,5.1899267e-05
07:48.9,3.566124e-05
07:49.9,3.536991e-05
07:50.9,3.1682794e-05
07:51.9,4.525036e-05
07:52.9,4.6020214e-05
07:53.9,5.770281e-05
07:54.9,6.2084124e-05
07:55.9,8.721179e-05
07:56.9,9.329127e-05
07:57.9,7.606414e-05
07:58.9,7.969658e-05
07:59.9,8.675656e-05
08:00.9,0.000108091
08:01.9,0.000136918
08:02.9,0.000156448
08:03.9,0.000190726
08:04.9,0.00020564
08:05.9,0.000196129
08:06.9,0.00019202
08:07.9,0.000189567
08:08.9,0.000175572
08:09.9,0.000171941
08:10.9,0.000152821
08:11.9,0.000143726
08:12.9,0.000141523
08:13.9,0.000135057
08:14.9,0.000133702
08:15.9,0.000137001
08:16.9,0.000131268
08:17.9,0.000132008
08:18.9,0.000127505
08:19.9,0.000127642
08:20.9,0.000133088
08:21.9,0.000143078
08:22.9,0.000155971
08:23.9,0.000130014
08:24.9,0.000133549
08:25.8,0.000130508
08:26.8,0.00014993
08:27.8,0.000186063
08:28.8,0.000179045
08:29.8,0.000144971
08:30.8,0.000136174
08:31.8,0.000145247
08:32.8,0.000143241
08:33.8,0.000135618
08:34.8,0.000117879
08:35.8,0.000129787
08:36.8,0.000137953
08:37.8,0.000121849
08:38.8,0.000121682
08:39.8,0.000123909
08:40.8,9.936756e-05
08:41.8,0.000110682
08:42.8,0.000111572
08:43.8,0.000120548
08:44.8,0.000143583
08:45.8,0.000152819
08:46.8,0.000162185
08:47.8,0.000173402
08:48.8,0.000151243
08:49.8,0.000153129
08:50.8,0.000180001
08:51.8,0.000194129
08:52.8,0.000177149
08:53.8,0.000167036
08:54.8,0.000151365
08:55.8,0.000133716
08:56.8,0.000127467
08:57.8,0.000125431
08:58.8,0.000111405
08:59.8,0.000129883
09:00.8,0.000136058
09:01.8,0.000142723
09:02.8,0.000163696
09:03.8,0.000166855
09:04.8,0.00016012
09:05.8,0.000183963
09:06.8,0.000170702
09:07.8,0.000168251
09:08.8,0.000164229
09:09.8,0.000146788
09:10.8,0.000140653
09:11.8,0.000150741
09:12.8,0.000153734
09:13.8,0.000145647
09:14.8,0.000155377
09:15.8,0.000185305
09:16.8,0.000165696
09:17.8,0.000170057
09:18.8,0.000189265
09:19.8,0.000201788
09:20.8,0.000196717
09:21.8,0.000186762
09:22.8,0.000192757
09:23.8,0.00018368
09:24.8,0.000178963
09:25.8,0.000179834
09:26.7,0.000193008
09:27.7,0.000188641
09:28.7,0.00021421
09:29.7,0.000210841
09:30.7,0.000224067
09:31.7,0.000217947
09:32.7,0.000215524
09:33.7,0.00022129
09:34.7,0.000204778
09:35.7,0.000199871
09:36.7,0.00021162
09:37.7,0.00019987
09:38.7,0.000180993
09:39.7,0.000185514
09:40.7,0.000174294
09:41.7,0.000165779
09:42.7,0.00017648
09:43.7,0.000159387
09:44.7,0.00018702
09:45.7,0.000192442
09:46.7,0.00019537
09:47.7,0.000204207
09:48.7,0.000195504
09:49.7,0.00020044
09:50.7,0.000214174
09:51.7,0.00022783
09:52.7,0.000220582
09:53.7,0.000244891
09:54.7,0.000277433
09:55.7,0.000275429
09:56.7,0.000284552
09:57.7,0.000277344
09:58.7,0.000252648
09:59.7,0.000244711
10:00.7,0.000205818
10:01.7,0.000230764
10:02.7,0.000270032
10:03.7,0.000267243
10:04.7,0.000266207
10:05.7,0.00026051
10:06.7,0.000275127
10:07.7,0.000262326
10:08.7,0.000254527
10:09.7,0.000265272
10:10.7,0.000252059
10:11.7,0.000273716
10:12.7,0.000274778
10:13.7,0.000274771
10:14.7,0.000279082
10:15.7,0.000276297
10:16.7,0.000280803
10:17.7,0.000279392
10:18.7,0.000292997
10:19.7,0.00030698
10:20.7,0.000281033
10:21.7,0.000273942
10:22.7,0.000275778
10:23.7,0.000324725
10:24.7,0.0003923
10:25.7,0.000396168
10:26.7,0.000367791
10:27.6,0.000362151
10:28.6,0.000336797
10:29.6,0.000337359
10:30.6,0.000329082
10:31.6,0.000333088
10:32.6,0.000273091
10:33.6,0.000274726
10:34.6,0.000250177
10:35.6,0.000195105
10:36.6,0.000195412
10:37.6,0.00017651
10:38.6,0.000180253
10:39.6,0.000199834
10:40.6,0.000233029
10:41.6,0.000219721
10:42.6,0.000248144
10:43.6,0.000262886
10:44.6,0.000277787
10:45.6,0.000253803
10:46.6,0.000213059
10:47.6,0.000238166
10:48.6,0.000246868
10:49.6,0.000225134
10:50.6,0.000237627
10:51.6,0.000210666
10:52.6,0.000214865
10:53.6,0.0002114
10:54.6,0.000222149
10:55.6,0.000231443
10:56.6,0.000236404
10:57.6,0.000254357
10:58.6,0.000225295
10:59.6,0.00024045
11:00.6,0.000244482
11:01.6,0.000229264
11:02.6,0.000201548
11:03.6,0.000183443
11:04.6,0.000204492
11:05.6,0.000212892
11:06.6,0.000233909
11:07.6,0.000244972
11:08.6,0.000217019
11:09.6,0.000202888
11:10.6,0.000200816
11:11.6,0.000218676
11:12.6,0.00021945
11:13.6,0.00022863
11:14.6,0.000234401
11:15.6,0.000236481
11:16.6,0.000252486
11:17.6,0.000251104
11:18.6,0.000225673
11:19.6,0.000217383
11:20.6,0.00018613
11:21.6,0.000188023
11:22.6,0.000205941
11:23.6,0.000177267
11:24.6,0.00016289
11:25.6,0.000129407
11:26.6,0.000140176
11:27.6,0.000183737
11:28.6,0.000196471
11:29.5,0.000178819
11:30.5,0.00015179
11:31.5,0.000136657
11:32.5,0.000134236
11:33.5,0.000106529
11:34.5,9.2155555e-05
11:35.5,9.737664e-05
11:36.5,8.8635e-05
11:37.5,0.000104352
11:38.5,0.000133184
11:39.5,0.000170616
11:40.5,0.000193631
11:41.5,0.000211259
11:42.5,0.00021361
11:43.5,0.000196778
11:44.5,0.000208364
11:45.5,0.000201448
11:46.5,0.000198058
11:47.5,0.000186062
11:48.5,0.000183882
11:49.5,0.000191206
11:50.5,0.000183214
11:51.5,0.000184352
11:52.5,0.000162018
11:53.5,0.000166105
11:54.5,0.000183971
11:55.5,0.000153113
11:56.5,0.000168734
11:57.5,0.000169175
11:58.5,0.000156876
11:59.5,0.000133447
12:00.5,0.000151346
12:01.5,0.000177358
12:02.5,0.000182778
12:03.5,0.000169094
12:04.5,0.000167812
12:05.5,0.000193351
12:06.5,0.000199679
12:07.5,0.00018497
12:08.5,0.000214376
12:09.5,0.000242193
12:10.5,0.000245639
12:11.5,0.000235435
12:12.5,0.000265783
12:13.5,0.000290967
12:14.5,0.000275242
