VWC,H4,MS,PWP,H4
Times,-0.750m,-0.750m,Times,-0.750m
2025-7-7 14:00,0.214,-36.8,00:00.0,0.0021
2025-7-7 14:00,0.214,-36.9,00:01.0,0.00206
2025-7-7 14:00,0.214,-36.9,00:02.0,0.00225
2025-7-7 14:00,0.214,-36.9,00:03.0,0.00219
2025-7-7 14:00,0.214,-36.8,00:04.0,0.00166
2025-7-7 14:00,0.214,-36.9,00:05.0,0.00146
2025-7-7 14:01,0.214,-36.8,00:06.0,0.00155
2025-7-7 14:01,0.214,-36.8,00:07.0,0.00156
2025-7-7 14:01,0.214,-36.8,00:08.0,0.00152
2025-7-7 14:01,0.214,-36.9,00:09.0,0.00172
2025-7-7 14:01,0.214,-36.9,00:10.0,0.00183
2025-7-7 14:01,0.214,-36.9,00:11.0,0.00186
2025-7-7 14:02,0.214,-36.9,00:12.0,0.00131
2025-7-7 14:02,0.214,-36.8,00:13.0,0.00137
2025-7-7 14:02,0.214,-36.8,00:14.0,0.0016
2025-7-7 14:02,0.214,-36.9,00:15.0,0.00153
2025-7-7 14:02,0.214,-36.8,00:16.0,0.00191
2025-7-7 14:02,0.214,-36.9,00:17.0,0.0019
2025-7-7 14:03,0.214,-36.8,00:18.0,0.0018
2025-7-7 14:03,0.214,-36.9,00:19.0,0.00169
2025-7-7 14:03,0.214,-36.9,00:20.0,0.00192
2025-7-7 14:03,0.214,-36.9,00:21.0,0.00187
2025-7-7 14:03,0.214,-36.9,00:22.0,0.00184
2025-7-7 14:03,0.214,-36.8,00:23.0,0.00178
2025-7-7 14:04,0.214,-36.9,00:24.0,0.00189
2025-7-7 14:04,0.214,-36.9,00:25.0,0.00169
2025-7-7 14:04,0.214,-36.9,00:26.0,0.00147
2025-7-7 14:04,0.214,-36.8,00:27.0,0.00167
2025-7-7 14:04,0.214,-36.9,00:28.0,0.00156
2025-7-7 14:04,0.214,-36.9,00:29.0,0.0015
2025-7-7 14:05,0.214,-36.9,00:30.0,0.00146
2025-7-7 14:05,0.214,-36.8,00:31.0,0.00182
2025-7-7 14:05,0.214,-36.8,00:32.0,0.00191
2025-7-7 14:05,0.214,-36.8,00:33.0,0.00215
2025-7-7 14:05,0.214,-36.9,00:34.0,0.0021
2025-7-7 14:05,0.214,-36.9,00:35.0,0.00206
2025-7-7 14:06,0.214,-36.9,00:36.0,0.00186
2025-7-7 14:06,0.214,-36.8,00:37.0,0.0017
2025-7-7 14:06,0.214,-36.8,00:38.0,0.0021
2025-7-7 14:06,0.214,-36.8,00:39.0,0.00248
2025-7-7 14:06,0.214,-36.9,00:40.0,0.00241
2025-7-7 14:06,0.214,-36.8,00:41.0,0.00241
2025-7-7 14:07,0.214,-36.9,00:42.0,0.0025
2025-7-7 14:07,0.214,-36.8,00:43.0,0.00266
2025-7-7 14:07,0.214,-36.8,00:44.0,0.00214
2025-7-7 14:07,0.214,-36.9,00:45.0,0.00241
2025-7-7 14:07,0.214,-36.9,00:46.0,0.00231
2025-7-7 14:07,0.214,-36.9,00:47.0,0.00238
2025-7-7 14:08,0.215,-36.9,00:48.0,0.00208
2025-7-7 14:08,0.214,-36.9,00:49.0,0.00214
2025-7-7 14:08,0.215,-36.9,00:50.0,0.00242
2025-7-7 14:08,0.214,-36.9,00:51.0,0.00208
2025-7-7 14:08,0.214,-36.9,00:52.0,0.00239
2025-7-7 14:08,0.214,-36.9,00:53.0,0.00214
2025-7-7 14:09,0.214,-36.9,00:54.0,0.00212
2025-7-7 14:09,0.214,-36.8,00:55.0,0.00197
2025-7-7 14:09,0.214,-36.8,00:56.0,0.00205
2025-7-7 14:09,0.214,-36.8,00:57.0,0.00195
2025-7-7 14:09,0.214,-36.9,00:58.0,0.00143
2025-7-7 14:09,0.214,-36.8,00:59.0,0.00173
2025-7-7 14:10,0.214,-36.9,01:00.0,0.00199
2025-7-7 14:10,0.214,-36.8,01:01.0,0.00202
2025-7-7 14:10,0.214,-36.8,01:02.0,0.00192
2025-7-7 14:10,0.214,-36.9,01:03.0,0.00165
2025-7-7 14:10,0.214,-36.9,01:04.0,0.00175
2025-7-7 14:10,0.214,-36.8,01:05.0,0.00203
2025-7-7 14:11,0.214,-36.8,01:06.0,0.00183
2025-7-7 14:11,0.214,-36.8,01:07.0,0.00197
2025-7-7 14:11,0.214,-36.9,01:08.0,0.00166
2025-7-7 14:11,0.214,-36.8,01:09.0,0.0017
2025-7-7 14:11,0.214,-36.7,01:10.0,0.00138
2025-7-7 14:11,0.214,-36.8,01:11.0,0.00156
2025-7-7 14:12,0.214,-37,01:12.0,0.0013
2025-7-7 14:12,0.214,-36.7,01:13.0,0.00112
2025-7-7 14:12,0.214,-36.8,01:14.0,0.00149
2025-7-7 14:12,0.214,-36.7,01:15.0,0.00129
2025-7-7 14:12,0.215,-36.8,01:16.0,0.00132
2025-7-7 14:12,0.214,-36.9,01:17.0,0.0012
2025-7-7 14:13,0.214,-36.8,01:18.0,0.0013
2025-7-7 14:13,0.214,-36.9,01:19.0,0.00152
2025-7-7 14:13,0.215,-36.9,01:20.0,0.00155
2025-7-7 14:13,0.214,-36.9,01:21.0,0.0017
2025-7-7 14:13,0.214,-36.8,01:22.0,0.00149
2025-7-7 14:13,0.215,-36.8,01:23.0,0.00147
2025-7-7 14:14,0.215,-36.8,01:24.0,0.00164
2025-7-7 14:14,0.215,-36.8,01:25.0,0.0016
2025-7-7 14:14,0.215,-36.8,01:26.0,0.00161
2025-7-7 14:14,0.215,-36.8,01:27.0,0.00122
2025-7-7 14:14,0.215,-36.8,01:28.0,9.1E-4
2025-7-7 14:14,0.214,-36.9,01:29.0,8.5E-4
