Time,Ch110-112
06:54.0,0
06:55.0,6.4560954e-05
06:56.0,9.443515e-05
06:57.0,0.000147864
06:58.0,0.000119577
06:59.0,0.000120174
07:00.0,0.000170558
07:01.0,0.000149899
07:02.0,0.000147587
07:03.0,0.000109227
07:04.0,0.000104664
07:05.0,8.566476e-05
07:06.0,7.896264e-05
07:07.0,6.0635422e-05
07:08.0,3.1991938e-05
07:09.0,-1.17E-05
07:10.0,-2.89E-05
07:11.0,-5.15E-05
07:12.0,-5.84E-05
07:13.0,-2.42E-05
07:14.0,-5.68E-05
07:15.0,-4.82E-05
07:16.0,-3.07E-05
07:17.0,9.2144e-06
07:18.0,2.6405784e-05
07:19.0,1.536074e-05
07:20.0,1.6958362e-05
07:21.0,1.215308e-05
07:22.0,-1.20E-05
07:23.0,2.092848e-05
07:24.0,1.985284e-05
07:24.9,1.4610807e-05
07:25.9,8.4165724e-05
07:26.9,8.622882e-05
07:27.9,7.699176e-05
07:28.9,7.940433e-05
07:29.9,8.453561e-05
07:30.9,4.9384995e-05
07:31.9,3.500063e-06
07:32.9,2.3905015e-05
07:33.9,2.3123319e-05
07:34.9,4.9271664e-05
07:35.9,6.108931e-05
07:36.9,7.449967e-05
07:37.9,4.3846758e-05
07:38.9,7.594101e-05
07:39.9,5.1636096e-05
07:40.9,5.3797758e-05
07:41.9,7.655632e-05
07:42.9,5.696256e-05
07:43.9,3.90621e-05
07:44.9,1.38039295e-05
07:45.9,1.8279412e-05
07:46.9,-8.44E-07
07:47.9,-3.04E-05
07:48.9,-1.96E-05
07:49.9,-7.93E-05
07:50.9,-0.000111813
07:51.9,-0.000146974
07:52.9,-0.000151801
07:53.9,-0.000162195
07:54.9,-0.000197655
07:55.9,-0.000180875
07:56.9,-0.00016053
07:57.9,-0.000187449
07:58.9,-0.000203671
07:59.9,-0.000225399
08:00.9,-0.000214449
08:01.9,-0.000184778
08:02.9,-0.000220172
08:03.9,-0.000201532
08:04.9,-0.000188763
08:05.9,-0.000170721
08:06.9,-0.000148647
08:07.9,-0.000150321
08:08.9,-0.000143488
08:09.9,-0.0001627
08:10.9,-0.000113876
08:11.9,-9.96E-05
08:12.9,-0.000111199
08:13.9,-0.000147935
08:14.9,-0.0001651
08:15.9,-0.000144641
08:16.9,-0.000146423
08:17.9,-0.000140239
08:18.9,-9.92E-05
08:19.9,-9.72E-05
08:20.9,-5.42E-05
08:21.9,-1.07E-05
08:22.9,-5.10E-05
08:23.9,-6.68E-05
08:24.9,-6.14E-05
08:25.8,-6.26E-05
08:26.8,-5.67E-05
08:27.8,-5.35E-05
08:28.8,-0.000119459
08:29.8,-0.000147464
08:30.8,-0.000147346
08:31.8,-0.000157811
08:32.8,-0.000107955
08:33.8,-8.91E-05
08:34.8,-0.000107681
08:35.8,-0.00015025
08:36.8,-0.000127459
08:37.8,-0.000134011
08:38.8,-0.000148312
08:39.8,-0.000130715
08:40.8,-0.000114538
08:41.8,-8.44E-05
08:42.8,-1.00E-05
08:43.8,-1.86E-05
08:44.8,-2.86E-05
08:45.8,-7.23E-06
08:46.8,-6.62E-06
08:47.8,-0.000110117
08:48.8,-0.000111041
08:49.8,-9.63E-05
08:50.8,-9.40E-05
08:51.8,-6.16E-05
08:52.8,-6.88E-05
08:53.8,-6.94E-05
08:54.8,-6.63E-05
08:55.8,-4.84E-05
08:56.8,-2.45E-05
08:57.8,-5.18E-06
08:58.8,2.0312768e-06
08:59.8,-3.21E-05
09:00.8,-4.39E-05
09:01.8,-5.39E-05
09:02.8,-5.59E-05
09:03.8,-2.21E-05
09:04.8,2.11667e-05
09:05.8,6.329639e-05
09:06.8,6.4392145e-05
09:07.8,6.012505e-05
09:08.8,5.580643e-05
09:09.8,2.8577708e-06
09:10.8,-1.73E-05
09:11.8,1.3576283e-06
09:12.8,-1.32E-05
09:13.8,-1.96E-05
09:14.8,-5.75E-06
09:15.8,-3.10E-05
09:16.8,-5.89E-05
09:17.8,-7.99E-05
09:18.8,-0.000116367
09:19.8,-8.44E-05
09:20.8,-5.85E-05
09:21.8,-4.68E-05
09:22.8,-5.43E-05
09:23.8,-3.71E-05
09:24.8,-2.40E-05
09:25.8,-5.28E-06
09:26.7,-7.18E-05
09:27.7,-0.000102127
09:28.7,-0.000121431
09:29.7,-9.98E-05
09:30.7,-7.66E-05
09:31.7,-0.000102963
09:32.7,-0.000104383
09:33.7,-0.000110765
09:34.7,-0.000162852
09:35.7,-0.000187948
09:36.7,-0.000184117
09:37.7,-0.000165601
09:38.7,-0.000156507
09:39.7,-0.000214268
09:40.7,-0.0002122
09:41.7,-0.000289343
09:42.7,-0.000288119
09:43.7,-0.000216665
09:44.7,-0.000180743
09:45.7,-0.000185998
09:46.7,-0.000186918
09:47.7,-0.000171345
09:48.7,-0.000197765
09:49.7,-0.000194568
09:50.7,-0.000254621
09:51.7,-0.000258495
09:52.7,-0.000314794
09:53.7,-0.000316782
09:54.7,-0.000381486
09:55.7,-0.000384641
09:56.7,-0.000421081
09:57.7,-0.000440576
09:58.7,-0.000453987
09:59.7,-0.000426211
10:00.7,-0.000426178
10:01.7,-0.000417522
10:02.7,-0.000461822
10:03.7,-0.000493752
10:04.7,-0.000498005
10:05.7,-0.000505932
10:06.7,-0.000515181
10:07.7,-0.000528254
10:08.7,-0.000507187
10:09.7,-0.000496909
10:10.7,-0.000483587
10:11.7,-0.000423847
10:12.7,-0.000398168
10:13.7,-0.000401928
10:14.7,-0.000413099
10:15.7,-0.000426645
10:16.7,-0.000433652
10:17.7,-0.000412115
10:18.7,-0.000393862
10:19.7,-0.000383599
10:20.7,-0.000397005
