case,panel,series,x,y,x_unit,y_unit,source_file,downsample_factor,interpolation_method,label
S1,Lmax_relative_error,Baseline,3.560000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,3.560000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,4.200000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,4.200000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,5.560000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,5.560000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,7.000000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,7.000000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,7.700000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,7.700000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,8.130000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,8.130000,0.000000,h,count,,,,
S1,Lmax_relative_error,Baseline,8.630000,0.000000,h,percent,,,,
S1,N_absolute_error,Baseline,8.630000,0.000000,h,count,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.560000,7.282258,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.572707,7.490870,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.585414,7.705456,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.598120,7.926189,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.610827,8.153244,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.623534,8.386802,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.636241,8.627049,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.648947,8.874178,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.661654,9.128383,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.674361,9.389870,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.687068,9.658845,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.699774,9.935524,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.712481,10.220126,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.725188,10.512879,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.737895,10.814016,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.750602,11.123777,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.763308,11.442408,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.776015,11.770164,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.788722,12.107307,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.801429,12.454103,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.814135,12.810831,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.826842,13.177773,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.839549,13.555223,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.852256,13.943481,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.864962,14.342857,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.877669,14.753668,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.890376,15.176242,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.903083,15.610915,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.915789,16.058034,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.928496,16.517954,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.941203,16.991043,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.953910,17.477676,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.966617,17.978241,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.979323,18.493137,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,3.992030,19.022774,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.004737,19.567574,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.017444,20.127969,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.030150,20.704407,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.042857,21.297345,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.055564,21.907257,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.068271,22.534627,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.080977,23.179954,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.093684,23.843753,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.106391,24.526551,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.119098,25.228891,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.131805,25.951333,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.144511,26.694451,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.157218,27.458835,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.169925,28.245095,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.182632,29.053854,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.195338,29.885757,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.208045,30.741464,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.220752,31.621657,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.233459,32.527034,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.246165,33.458315,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.258872,34.416240,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.271579,35.401571,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.284286,36.415090,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.296992,37.457603,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.309699,38.529937,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.322406,39.632945,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.335113,40.767501,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.347820,41.934508,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.360526,43.134891,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.373233,44.369603,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.385940,45.639625,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.398647,46.945963,h,voxels,,,,
