6941	X	Y	Z	Log_Result
0.000000	150	121.600000	20	0.000000
0.000000	150	87.200000	20	0.000000
0.000000	150	52.800000	20	0.000000
0.000000	150	18.400000	20	0.000000
0.000000	120	18.400000	20	0.000000
0.000000	120	52.800000	20	0.000000
0.000375	120	87.200000	20	0.000163
0.000000	120	121.600000	20	0.000000
0.000000	90	121.600000	20	0.000000
0.000028	90	87.200000	20	0.000012
0.000000	90	52.800000	20	0.000000
0.001640	90	18.400000	20	0.000711
0.000000	60	18.400000	20	0.000000
0.000000	60	52.800000	20	0.000000
0.000000	60	87.200000	20	0.000000
0.000000	60	121.600000	20	0.000000
0.002657	30	121.600000	20	0.001153
0.000000	30	87.200000	20	0.000000
0.003114	30	52.800000	20	0.001350
0.000159	30	18.400000	20	0.000069
2.424714	120	18.400000	50	0.534624
0.021190	120	52.800000	50	0.009106
0.047833	120	87.200000	50	0.020292
0.016531	120	121.600000	50	0.007121
0.002802	90	121.600000	50	0.001215
0.000000	90	87.200000	50	0.000000
0.000012	90	52.800000	50	0.000005
0.010979	90	18.400000	50	0.004742
0.000000	60	18.400000	50	0.000000
0.000000	60	52.800000	50	0.000000
0.000000	60	87.200000	50	0.000000
0.000000	60	121.600000	50	0.000000
0.000000	30	121.600000	50	0.000000
0.000000	30	87.200000	50	0.000000
0.000868	30	52.800000	50	0.000377
0.000528	30	18.400000	50	0.000229
2.381640	90	18.400000	80	0.529127
0.012516	90	52.800000	80	0.005402
0.009833	90	87.200000	80	0.004250
0.000704	90	121.600000	80	0.000305
0.000386	60	121.600000	80	0.000168
0.017393	60	87.200000	80	0.007489
0.007280	60	52.800000	80	0.003150
0.000000	60	18.400000	80	0.000000
0.000000	30	18.400000	80	0.000000
0.000000	30	52.800000	80	0.000000
0.017448	30	87.200000	80	0.007512
0.000843	30	121.600000	80	0.000366
0.667839	20	120.000000	98	0.222154
0.007025	20	100.000000	98	0.003040
0.000000	20	80.000000	98	0.000000
0.000000	20	60.000000	98	0.000000
0.000000	20	40.000000	98	0.000000
0.000000	20	20.000000	98	0.000000
0.000000	40	40.000000	98	0.000000
0.000000	40	60.000000	98	0.000000
0.000000	40	80.000000	98	0.000000
0.004758	40	100.000000	98	0.002062
0.017602	40	120.000000	98	0.007578
0.669810	60	100.000000	98	0.222667
0.349422	60	80.000000	98	0.130148
0.293936	60	60.000000	98	0.111913
0.279834	60	40.000000	98	0.107154
0.101901	60	20.000000	98	0.042142
0.006920	80	40.000000	98	0.002995
0.000008	80	60.000000	98	0.000004
0.000602	80	80.000000	98	0.000262
0.000477	80	100.000000	98	0.000207
0.000550	80	120.000000	98	0.000239
0.006499	89	100.000000	98	0.002813
0.004043	88	80.000000	98	0.001752
0.000065	87	60.000000	98	0.000028
0.000813	86	40.000000	98	0.000353
0.011675	85	20.000000	98	0.005041
0.012991	95	40.000000	98	0.005606
0.000000	95	60.000000	98	0.000000
0.000000	95	80.000000	98	0.000000
0.000418	112	120.000000	84	0.000181
0.000182	123	100.000000	74	0.000079
0.000000	123	80.000000	74	0.000000
0.000000	123	60.000000	74	0.000000
0.000000	123	40.000000	74	0.000000
0.000038	124	20.000000	66	0.000017
0.006287	135	40.000000	58	0.002722
0.007674	135	60.000000	58	0.003320
0.006531	135	80.000000	58	0.002827
0.009488	135	100.000000	58	0.004101
0.000091	136	120.000000	50	0.000039
0.000089	147	100.000000	42	0.000039
0.000487	147	80.000000	42	0.000211
0.000178	147	60.000000	42	0.000077
0.000000	147	40.000000	42	0.000000
0.000000	148	20.000000	34	0.000000
0.000000	159	40.000000	26	0.000000
0.000000	159	60.000000	26	0.000000
0.000000	159	80.000000	26	0.000000
0.000040	159	100.000000	26	0.000017
0.004144	160	120.000000	18	0.001796
0.015355	171	100.000000	10	0.006618
0.062846	171	80.000000	10	0.026470
0.157580	171	60.000000	10	0.063551
0.161068	171	40.000000	10	0.064858
0.000167	171	20.000000	10	0.000072
