22390	X	Y	Z	Log_Result
0.002479	150	121.600000	20	0.001075
0.019532	150	87.200000	20	0.008401
0.012452	150	52.800000	20	0.005374
0.004867	150	18.400000	20	0.002108
0.125069	120	18.400000	20	0.051179
0.020521	120	52.800000	20	0.008822
0.077503	120	87.200000	20	0.032418
0.000000	120	121.600000	20	0.000000
0.032162	90	121.600000	20	0.013748
0.545651	90	87.200000	20	0.189111
0.029721	90	52.800000	20	0.012720
0.371764	90	18.400000	20	0.137279
0.003367	60	18.400000	20	0.001460
0.001671	60	52.800000	20	0.000725
0.026951	60	87.200000	20	0.011550
0.014356	60	121.600000	20	0.006190
0.491528	30	121.600000	20	0.173631
0.025542	30	87.200000	20	0.010953
0.449541	30	52.800000	20	0.161230
0.298293	30	18.400000	20	0.113373
10.986912	120	18.400000	50	1.078707
1.426343	120	52.800000	50	0.384952
0.285664	120	87.200000	50	0.109128
0.137903	120	121.600000	50	0.056105
0.084507	90	121.600000	50	0.035232
0.462903	90	87.200000	50	0.165215
0.108535	90	52.800000	50	0.044749
0.217846	90	18.400000	50	0.085592
0.094506	60	18.400000	50	0.039218
0.008826	60	52.800000	50	0.003816
0.006921	60	87.200000	50	0.002995
0.000621	60	121.600000	50	0.000269
0.005958	30	121.600000	50	0.002580
0.190733	30	87.200000	50	0.075814
1.076752	30	52.800000	50	0.317385
0.287421	30	18.400000	50	0.109721
14.924393	90	18.400000	80	1.202063
0.665589	90	52.800000	80	0.221568
0.669243	90	87.200000	80	0.222520
0.470825	90	121.600000	80	0.167561
1.058543	60	121.600000	80	0.313560
1.664407	60	87.200000	80	0.425601
1.701128	60	52.800000	80	0.431545
0.445180	60	18.400000	80	0.159922
0.483033	30	18.400000	80	0.171151
0.221378	30	52.800000	80	0.086850
10.030811	30	87.200000	80	1.042607
11.877651	30	121.600000	80	1.109837
57.806956	20	120.000000	98	1.769429
14.715345	20	100.000000	98	1.196324
3.571112	20	80.000000	98	0.660022
1.789238	20	60.000000	98	0.445486
0.852483	20	40.000000	98	0.267754
0.737834	20	20.000000	98	0.240008
0.057641	40	40.000000	98	0.024338
0.104907	40	60.000000	98	0.043326
0.496144	40	80.000000	98	0.174973
2.233164	40	100.000000	98	0.509628
1.666988	40	120.000000	98	0.426021
46.132490	60	100.000000	98	1.673320
28.727889	60	80.000000	98	1.473164
18.637728	60	60.000000	98	1.293091
13.954534	60	40.000000	98	1.174773
19.532243	60	20.000000	98	1.312436
0.581424	80	40.000000	98	0.199048
0.175075	80	60.000000	98	0.070066
0.267849	80	80.000000	98	0.103068
0.590512	80	100.000000	98	0.201537
1.692787	80	120.000000	98	0.430202
2.965303	89	100.000000	98	0.598276
3.720360	88	80.000000	98	0.673975
4.011179	87	60.000000	98	0.699940
3.663981	86	40.000000	98	0.668757
1.335670	85	20.000000	98	0.368412
2.913410	95	40.000000	98	0.592555
2.208213	95	60.000000	98	0.506263
2.995011	95	80.000000	98	0.601518
3.992752	112	120.000000	84	0.698340
3.310294	123	100.000000	74	0.634507
1.553669	123	80.000000	74	0.407165
3.567295	123	60.000000	74	0.659659
4.060386	123	40.000000	74	0.704184
1.529426	124	20.000000	66	0.403022
1.951429	135	40.000000	58	0.470032
2.651718	135	60.000000	58	0.562497
0.979988	135	80.000000	58	0.296662
1.142055	135	100.000000	58	0.330831
0.393053	136	120.000000	50	0.143968
0.122253	147	100.000000	42	0.050091
0.114314	147	80.000000	42	0.047008
0.073903	147	60.000000	42	0.030965
0.940183	147	40.000000	42	0.287843
0.003821	148	20.000000	34	0.001656
0.288316	159	40.000000	26	0.110023
0.762981	159	60.000000	26	0.246248
2.089362	159	80.000000	26	0.489869
2.109499	159	100.000000	26	0.492690
0.285137	160	120.000000	18	0.108949
3.164248	171	100.000000	10	0.619537
5.963980	171	80.000000	10	0.842858
8.188225	171	60.000000	10	0.963232
6.546139	171	40.000000	10	0.877725
0.324525	171	20.000000	10	0.122060
