32780	X	Y	Z	Log_Result
0.004368	150	121.600000	20	0.001893
0.032652	150	87.200000	20	0.013954
0.018038	150	52.800000	20	0.007764
0.044090	150	18.400000	20	0.018738
0.247734	120	18.400000	20	0.096122
0.031770	120	52.800000	20	0.013583
0.144702	120	87.200000	20	0.058692
0.000000	120	121.600000	20	0.000000
0.036406	90	121.600000	20	0.015530
0.614875	90	87.200000	20	0.208139
0.039027	90	52.800000	20	0.016627
0.414072	90	18.400000	20	0.150472
0.003367	60	18.400000	20	0.001460
0.017164	60	52.800000	20	0.007391
0.042304	60	87.200000	20	0.017994
0.014425	60	121.600000	20	0.006220
0.639709	30	121.600000	20	0.214767
0.065149	30	87.200000	20	0.027410
0.804268	30	52.800000	20	0.256301
0.903907	30	18.400000	20	0.279646
17.696521	120	18.400000	50	1.271761
3.055127	120	52.800000	50	0.608004
1.027306	120	87.200000	50	0.306919
0.409411	120	121.600000	50	0.149038
0.306095	90	121.600000	50	0.115975
0.876338	90	87.200000	50	0.273311
0.609431	90	52.800000	50	0.206672
0.875729	90	18.400000	50	0.273170
0.818524	60	18.400000	50	0.259719
0.705697	60	52.800000	50	0.231902
0.482646	60	87.200000	50	0.171038
0.096322	60	121.600000	50	0.039938
0.054447	30	121.600000	50	0.023025
0.616345	30	87.200000	50	0.208534
3.977713	30	52.800000	50	0.697030
2.095392	30	18.400000	50	0.490716
26.618070	90	18.400000	80	1.441193
2.309435	90	52.800000	80	0.519754
1.582771	90	87.200000	80	0.412086
0.821857	90	121.600000	80	0.260514
2.113346	60	121.600000	80	0.493227
3.238462	60	87.200000	80	0.627208
4.714820	60	52.800000	80	0.757003
2.152237	60	18.400000	80	0.498619
3.431942	30	18.400000	80	0.646594
1.035939	30	52.800000	80	0.308765
16.933579	30	87.200000	80	1.253667
16.267861	30	121.600000	80	1.237239
79.702264	20	120.000000	98	1.906886
15.714058	20	100.000000	98	1.223082
3.628471	20	80.000000	98	0.665438
1.793990	20	60.000000	98	0.446225
0.856588	20	40.000000	98	0.268716
2.314765	20	20.000000	98	0.520453
0.120130	40	40.000000	98	0.049268
1.970096	40	60.000000	98	0.472771
17.776622	40	80.000000	98	1.273617
48.309814	40	100.000000	98	1.692933
38.435478	40	120.000000	98	1.595887
105.460392	60	100.000000	98	2.027188
104.764530	60	80.000000	98	2.024340
98.382177	60	60.000000	98	1.997309
81.541928	60	40.000000	98	1.916675
30.820508	60	20.000000	98	1.502707
1.176773	80	40.000000	98	0.337813
0.272588	80	60.000000	98	0.104688
0.308677	80	80.000000	98	0.116833
0.811681	80	100.000000	98	0.258082
2.638996	80	120.000000	98	0.560982
5.162988	89	100.000000	98	0.789791
6.248675	88	80.000000	98	0.860259
6.706036	87	60.000000	98	0.886831
6.119339	86	40.000000	98	0.852440
2.149081	85	20.000000	98	0.498184
6.412255	95	40.000000	98	0.869950
3.846663	95	60.000000	98	0.685443
6.000124	95	80.000000	98	0.845106
9.981586	112	120.000000	84	1.040665
6.340289	123	100.000000	74	0.865713
4.247748	123	80.000000	74	0.719973
13.390038	123	60.000000	74	1.158062
16.025119	123	40.000000	74	1.231090
4.177790	124	20.000000	66	0.714144
9.101742	135	40.000000	58	1.004396
15.406329	135	60.000000	58	1.215011
5.790546	135	80.000000	58	0.831905
5.445887	135	100.000000	58	0.809283
0.799583	136	120.000000	50	0.255172
0.387686	147	100.000000	42	0.142291
0.384195	147	80.000000	42	0.141197
0.217219	147	60.000000	42	0.085369
1.996039	147	40.000000	42	0.476548
0.018996	148	20.000000	34	0.008173
0.723651	159	40.000000	26	0.236449
1.487995	159	60.000000	26	0.395849
3.379667	159	80.000000	26	0.641441
3.198046	159	100.000000	26	0.623047
0.303917	160	120.000000	18	0.115250
4.797068	171	100.000000	10	0.763208
6.480710	171	80.000000	10	0.873943
9.115194	171	60.000000	10	1.004974
7.319950	171	40.000000	10	0.920121
0.388925	171	20.000000	10	0.142679
