41867	X	Y	Z	Log_Result
0.077894	150	121.600000	20	0.032576
0.135839	150	87.200000	20	0.055317
0.553348	150	52.800000	20	0.191269
0.627564	150	18.400000	20	0.211538
1.028049	120	18.400000	20	0.307078
0.050414	120	52.800000	20	0.021361
0.400318	120	87.200000	20	0.146227
0.005765	120	121.600000	20	0.002496
0.086524	90	121.600000	20	0.036039
0.814499	90	87.200000	20	0.258757
0.101050	90	52.800000	20	0.041807
0.929401	90	18.400000	20	0.285423
0.003508	60	18.400000	20	0.001521
0.020829	60	52.800000	20	0.008953
0.043583	60	87.200000	20	0.018527
0.014514	60	121.600000	20	0.006258
1.079418	30	121.600000	20	0.317942
0.375165	30	87.200000	20	0.138355
1.859828	30	52.800000	20	0.456340
1.449838	30	18.400000	20	0.389137
23.749354	120	18.400000	50	1.393564
4.782456	120	52.800000	50	0.762112
1.178568	120	87.200000	50	0.338171
0.546524	120	121.600000	50	0.189357
0.797108	90	121.600000	50	0.254574
1.399742	90	87.200000	50	0.380165
1.222125	90	52.800000	50	0.346769
1.233288	90	18.400000	50	0.348945
1.534380	60	18.400000	50	0.403872
0.899371	60	52.800000	50	0.278610
0.494234	60	87.200000	50	0.174419
0.096945	60	121.600000	50	0.040185
0.066222	30	121.600000	50	0.027848
2.516383	30	87.200000	50	0.546096
15.488383	30	52.800000	50	1.217178
12.919660	30	18.400000	50	1.143629
43.728897	90	18.400000	80	1.650588
8.250357	90	52.800000	80	0.966158
4.539921	90	87.200000	80	0.743504
1.298792	90	121.600000	80	0.361500
3.150319	60	121.600000	80	0.618081
4.300947	60	87.200000	80	0.724353
6.155807	60	52.800000	80	0.854659
3.401582	60	18.400000	80	0.643609
5.109336	30	18.400000	80	0.785994
1.569046	30	52.800000	80	0.409772
23.229311	30	87.200000	80	1.384341
20.793122	30	121.600000	80	1.338319
103.631252	20	120.000000	98	2.019661
17.813102	20	100.000000	98	1.274460
3.717682	20	80.000000	98	0.673729
1.801408	20	60.000000	98	0.447376
0.866236	20	40.000000	98	0.270967
2.593844	20	20.000000	98	0.555559
0.255199	40	40.000000	98	0.098713
2.481866	40	60.000000	98	0.541812
22.411148	40	80.000000	98	1.369423
57.319378	40	100.000000	98	1.765813
42.747081	40	120.000000	98	1.640949
143.444161	60	100.000000	98	2.159700
129.271380	60	80.000000	98	2.114849
116.240957	60	60.000000	98	2.069079
98.944646	60	40.000000	98	1.999760
45.489778	60	20.000000	98	1.667357
1.852664	80	40.000000	98	0.455251
0.506429	80	60.000000	98	0.177949
0.515918	80	80.000000	98	0.180676
1.223756	80	100.000000	98	0.347087
3.929251	80	120.000000	98	0.692781
7.133022	89	100.000000	98	0.910252
7.778843	88	80.000000	98	0.943437
8.175323	87	60.000000	98	0.962621
8.076613	86	40.000000	98	0.957924
2.728555	85	20.000000	98	0.571541
9.551277	95	40.000000	98	1.023305
6.196784	95	60.000000	98	0.857138
10.426193	95	80.000000	98	1.057902
14.517233	112	120.000000	84	1.190814
8.952000	123	100.000000	74	0.997910
5.724000	123	80.000000	74	0.827628
17.242883	123	60.000000	74	1.261093
19.739047	123	40.000000	74	1.316789
4.646010	124	20.000000	66	0.751742
9.499531	135	40.000000	58	1.021170
16.015228	135	60.000000	58	1.230838
6.046000	135	80.000000	58	0.847943
5.784000	135	100.000000	58	0.831486
0.886584	136	120.000000	50	0.275676
0.628036	147	100.000000	42	0.211664
0.582189	147	80.000000	42	0.199258
0.359581	147	60.000000	42	0.133405
3.883500	147	40.000000	42	0.688731
0.058980	148	20.000000	34	0.024888
5.878340	159	40.000000	26	0.837484
7.915680	159	60.000000	26	0.950154
11.617300	159	80.000000	26	1.100966
9.368100	159	100.000000	26	1.015699
0.659230	160	120.000000	18	0.219907
5.034000	171	100.000000	10	0.780605
7.308639	171	80.000000	10	0.919530
9.912368	171	60.000000	10	1.037919
7.935356	171	40.000000	10	0.951112
1.305638	171	20.000000	10	0.362791
