25300	X	Y	Z	Log_Result
0.092993	150	121.600000	20	0.038617
5.314252	150	87.200000	20	0.800322
5.030010	150	52.800000	20	0.780318
1.941381	150	18.400000	20	0.468551
1.011288	120	18.400000	20	0.303474
0.736255	120	52.800000	20	0.239614
1.426140	120	87.200000	20	0.384916
0.521272	120	121.600000	20	0.182207
0.084635	90	121.600000	20	0.035283
0.149437	90	87.200000	20	0.060485
0.056403	90	52.800000	20	0.023830
0.163567	90	18.400000	20	0.065792
0.240704	60	18.400000	20	0.093668
0.412908	60	52.800000	20	0.150114
0.312805	60	87.200000	20	0.118200
0.416810	60	121.600000	20	0.151312
1.584415	30	121.600000	20	0.412362
0.511921	30	87.200000	20	0.179529
9.305051	30	52.800000	20	1.013050
7.974730	30	18.400000	20	0.953021
31.859901	120	18.400000	50	1.516666
1.295811	120	52.800000	50	0.360936
1.092133	120	87.200000	50	0.320589
2.620308	120	121.600000	50	0.558745
3.093715	90	121.600000	50	0.612118
0.400633	90	87.200000	50	0.146324
1.634794	90	52.800000	50	0.420747
1.894001	90	18.400000	50	0.461499
1.946539	60	18.400000	50	0.469312
2.866772	60	52.800000	50	0.587349
7.017878	60	87.200000	50	0.904059
1.877954	60	121.600000	50	0.459084
0.829919	30	121.600000	50	0.262432
0.293878	30	87.200000	50	0.111893
0.393286	30	52.800000	50	0.144040
2.156585	30	18.400000	50	0.499217
26.245192	90	18.400000	80	1.435290
0.974256	90	52.800000	80	0.295404
1.493017	90	87.200000	80	0.396725
3.430582	90	121.600000	80	0.646461
1.092396	60	121.600000	80	0.320644
3.320586	60	87.200000	80	0.635543
2.349586	60	52.800000	80	0.524991
5.039720	60	18.400000	80	0.781017
6.513738	30	18.400000	80	0.875856
3.394164	30	52.800000	80	0.642876
5.678743	30	87.200000	80	0.824695
10.007580	30	121.600000	80	1.041692
44.173940	20	120.000000	98	1.654888
9.673034	20	100.000000	98	1.028288
2.858439	20	80.000000	98	0.586412
2.521574	20	60.000000	98	0.546737
5.807840	20	40.000000	98	0.833009
3.927099	20	20.000000	98	0.692591
9.324212	40	40.000000	98	1.013857
10.281049	40	60.000000	98	1.052349
11.646669	40	80.000000	98	1.101976
10.925729	40	100.000000	98	1.076485
2.974023	40	120.000000	98	0.599230
9.209885	60	100.000000	98	1.009021
8.257020	60	80.000000	98	0.966471
6.475276	60	60.000000	98	0.873627
7.447690	60	40.000000	98	0.926738
4.479161	60	20.000000	98	0.738714
4.858619	80	40.000000	98	0.767795
6.246111	80	60.000000	98	0.860105
9.870535	80	80.000000	98	1.036251
8.464533	80	100.000000	98	0.976099
6.067736	80	120.000000	98	0.849280
7.520673	89	100.000000	98	0.930474
6.056115	88	80.000000	98	0.848566
0.006771	87	60.000000	98	0.002931
0.013835	86	40.000000	98	0.005967
0.204563	85	20.000000	98	0.080829
0.163360	95	40.000000	98	0.065714
0.251540	95	60.000000	98	0.097445
4.632061	95	80.000000	98	0.750667
2.867406	112	120.000000	84	0.587420
2.572340	123	100.000000	74	0.552953
1.472169	123	80.000000	74	0.393078
1.081542	123	60.000000	74	0.318385
0.546127	123	40.000000	74	0.189245
0.018506	124	20.000000	66	0.007964
0.008226	135	40.000000	58	0.003558
0.007672	135	60.000000	58	0.003319
0.074865	135	80.000000	58	0.031354
0.000000	135	100.000000	58	0.000000
0.000000	136	120.000000	50	0.000000
0.000000	147	100.000000	42	0.000000
0.000000	147	80.000000	42	0.000000
0.000000	147	60.000000	42	0.000000
0.000000	147	40.000000	42	0.000000
0.012094	148	20.000000	34	0.005221
0.150538	159	40.000000	26	0.060901
0.158307	159	60.000000	26	0.063824
0.234276	159	80.000000	26	0.091412
0.400117	159	100.000000	26	0.146164
0.019592	160	120.000000	18	0.008427
1.006764	171	100.000000	10	0.302496
0.613581	171	80.000000	10	0.207791
0.684877	171	60.000000	10	0.226568
0.309602	171	40.000000	10	0.117139
0.129478	171	20.000000	10	0.052878
