39700	X	Y	Z	Log_Result
0.342834	150	121.600000	20	0.128022
13.629098	150	87.200000	20	1.165218
12.134049	150	52.800000	20	1.118399
5.927041	150	18.400000	20	0.840548
4.738505	120	18.400000	20	0.758799
2.811931	120	52.800000	20	0.581145
5.442622	120	87.200000	20	0.809063
2.146246	120	121.600000	20	0.497793
0.411806	90	121.600000	20	0.149775
0.889405	90	87.200000	20	0.276325
0.443002	90	52.800000	20	0.159267
0.752603	90	18.400000	20	0.243684
1.258688	60	18.400000	20	0.353856
1.254874	60	52.800000	20	0.353122
0.536149	60	87.200000	20	0.186433
0.647385	60	121.600000	20	0.216795
1.968907	30	121.600000	20	0.472597
0.698565	30	87.200000	20	0.230082
14.560129	30	52.800000	20	1.192013
12.724167	30	18.400000	20	1.137486
51.933514	120	18.400000	50	1.723731
2.488629	120	52.800000	50	0.542655
2.022209	120	87.200000	50	0.480324
5.379183	120	121.600000	50	0.804765
5.257151	90	121.600000	50	0.796377
0.700779	90	87.200000	50	0.230648
3.271466	90	52.800000	50	0.630577
3.829321	90	18.400000	50	0.683886
3.358178	60	18.400000	50	0.639305
4.343959	60	52.800000	50	0.727863
10.522999	60	87.200000	50	1.061566
3.051876	60	121.600000	50	0.607656
1.291066	30	121.600000	50	0.360038
0.455652	30	87.200000	50	0.163057
0.725716	30	52.800000	50	0.236969
3.981600	30	18.400000	50	0.697369
43.235317	90	18.400000	80	1.645769
1.527547	90	52.800000	80	0.402699
1.812580	90	87.200000	80	0.449105
4.647442	90	121.600000	80	0.751852
1.704257	60	121.600000	80	0.432048
4.507196	60	87.200000	80	0.740931
3.214999	60	52.800000	80	0.624797
7.986191	60	18.400000	80	0.953576
11.036650	30	18.400000	80	1.080506
5.616311	30	52.800000	80	0.820616
9.080727	30	87.200000	80	1.003492
18.536763	30	121.600000	80	1.290853
80.325358	20	120.000000	98	1.910226
21.270829	20	100.000000	98	1.347736
5.347570	20	80.000000	98	0.802608
4.466746	20	60.000000	98	0.737729
11.576241	20	40.000000	98	1.099551
7.870314	20	20.000000	98	0.947939
22.218275	40	40.000000	98	1.365830
21.477588	40	60.000000	98	1.351750
24.150176	40	80.000000	98	1.400541
24.399544	40	100.000000	98	1.404826
5.860584	40	120.000000	98	0.836361
16.424691	60	100.000000	98	1.241165
14.790544	60	80.000000	98	1.198397
11.359156	60	60.000000	98	1.091989
12.728381	60	40.000000	98	1.137619
6.755566	60	20.000000	98	0.889614
7.208619	80	40.000000	98	0.914270
9.094763	80	60.000000	98	1.004096
13.902180	80	80.000000	98	1.173250
11.834607	80	100.000000	98	1.108383
8.654383	80	120.000000	98	0.984725
9.564609	89	100.000000	98	1.023853
10.099095	88	80.000000	98	1.045288
0.006771	87	60.000000	98	0.002931
0.013835	86	40.000000	98	0.005967
0.418122	85	20.000000	98	0.151714
0.212944	95	40.000000	98	0.083841
0.337117	95	60.000000	98	0.126169
6.402128	95	80.000000	98	0.869357
5.965061	112	120.000000	84	0.842925
9.823539	123	100.000000	74	1.034369
5.766661	123	80.000000	74	0.830374
3.762549	123	60.000000	74	0.677840
1.859475	123	40.000000	74	0.456286
0.599256	124	20.000000	66	0.203918
0.037434	135	40.000000	58	0.015960
0.018003	135	60.000000	58	0.007749
0.406950	135	80.000000	58	0.148279
1.280405	135	100.000000	58	0.358012
0.001760	136	120.000000	50	0.000764
7.141750	147	100.000000	42	0.910718
4.723140	147	80.000000	42	0.757634
4.693336	147	60.000000	42	0.755367
0.320201	147	40.000000	42	0.120640
3.112208	148	20.000000	34	0.614075
9.154307	159	40.000000	26	1.006650
10.000286	159	60.000000	26	1.041404
12.229271	159	80.000000	26	1.121536
14.390970	159	100.000000	26	1.187266
1.101308	160	120.000000	18	0.322490
7.741105	171	100.000000	10	0.941566
5.172100	171	80.000000	10	0.790433
4.772816	171	60.000000	10	0.761388
2.177618	171	40.000000	10	0.502102
1.818532	171	20.000000	10	0.450023
