41500	X	Y	Z	Log_Result
0.393408	150	121.600000	20	0.144078
14.807754	150	87.200000	20	1.198870
13.218882	150	52.800000	20	1.152865
6.451324	150	18.400000	20	0.872233
5.246081	120	18.400000	20	0.795608
3.110879	120	52.800000	20	0.613935
6.176210	120	87.200000	20	0.855895
2.517944	120	121.600000	20	0.546289
0.477031	90	121.600000	20	0.169390
0.983603	90	87.200000	20	0.297455
0.470467	90	52.800000	20	0.167455
0.825678	90	18.400000	20	0.261424
1.314025	60	18.400000	20	0.364368
1.352389	60	52.800000	20	0.371509
0.579633	60	87.200000	20	0.198556
0.670391	60	121.600000	20	0.222818
2.076594	30	121.600000	20	0.488070
0.713496	30	87.200000	20	0.233883
14.914557	30	52.800000	20	1.201795
12.946425	30	18.400000	20	1.144463
53.687174	120	18.400000	50	1.737885
2.527886	120	52.800000	50	0.547515
2.042137	120	87.200000	50	0.483179
5.538443	120	121.600000	50	0.815474
5.406127	90	121.600000	50	0.806596
0.701859	90	87.200000	50	0.230924
3.280097	90	52.800000	50	0.631454
3.835389	90	18.400000	50	0.684431
3.372504	60	18.400000	50	0.640730
4.480555	60	52.800000	50	0.738825
10.871662	60	87.200000	50	1.074512
3.125551	60	121.600000	50	0.615482
1.335851	30	121.600000	50	0.368445
0.510127	30	87.200000	50	0.179014
0.767978	30	52.800000	50	0.247477
4.591506	30	18.400000	50	0.747529
46.061675	90	18.400000	80	1.672667
1.634307	90	52.800000	80	0.420666
1.846776	90	87.200000	80	0.454353
5.106893	90	121.600000	80	0.785820
1.820266	60	121.600000	80	0.450290
4.536777	60	87.200000	80	0.743257
3.334014	60	52.800000	80	0.636890
8.589872	60	18.400000	80	0.981813
11.385142	30	18.400000	80	1.092901
5.732426	30	52.800000	80	0.828172
9.722302	30	87.200000	80	1.030288
19.737944	30	121.600000	80	1.316766
85.251012	20	120.000000	98	1.935764
22.531572	20	100.000000	98	1.371651
5.553215	20	80.000000	98	0.816454
4.635458	20	60.000000	98	0.750929
12.617197	20	40.000000	98	1.134088
8.597575	20	20.000000	98	0.982162
22.758875	40	40.000000	98	1.375826
22.574775	40	60.000000	98	1.372448
27.053562	40	80.000000	98	1.447988
28.122966	40	100.000000	98	1.464236
5.941989	40	120.000000	98	0.841484
17.348062	60	100.000000	98	1.263590
15.422204	60	80.000000	98	1.215431
11.737740	60	60.000000	98	1.105092
10.492900	60	40.000000	98	1.060430
6.861916	60	20.000000	98	0.895528
7.250127	80	40.000000	98	0.916461
9.136250	80	60.000000	98	1.005877
13.959629	80	80.000000	98	1.174921
11.887416	80	100.000000	98	1.110166
8.897400	80	120.000000	98	0.995521
10.180200	89	100.000000	98	1.048450
10.095000	88	80.000000	98	1.045127
0.006771	87	60.000000	98	0.002931
0.013835	86	40.000000	98	0.005967
0.534386	85	20.000000	98	0.185935
1.114625	95	40.000000	98	0.325233
0.943935	95	60.000000	98	0.288682
12.229600	95	80.000000	98	1.121547
11.808470	112	120.000000	84	1.107497
11.353113	123	100.000000	74	1.091776
7.680477	123	80.000000	74	0.938544
6.413771	123	60.000000	74	0.870039
3.410448	123	40.000000	74	0.644483
0.906141	124	20.000000	66	0.280155
0.610341	135	40.000000	58	0.206918
0.222835	135	60.000000	58	0.087368
7.102500	135	80.000000	58	0.908619
6.296500	135	100.000000	58	0.863115
0.021662	136	120.000000	50	0.009307
8.309700	147	100.000000	42	0.968936
6.030000	147	80.000000	42	0.846955
6.189600	147	60.000000	42	0.856705
0.510792	147	40.000000	42	0.179205
3.922887	148	20.000000	34	0.692220
10.810204	159	40.000000	26	1.072257
11.905462	159	60.000000	26	1.110774
14.757817	159	80.000000	26	1.197496
17.454346	159	100.000000	26	1.266099
1.254636	160	120.000000	18	0.353076
6.786600	171	100.000000	10	0.891348
5.212500	171	80.000000	10	0.793266
4.818000	171	60.000000	10	0.764774
2.204400	171	40.000000	10	0.505747
2.059500	171	20.000000	10	0.485650
