case,label,hours_from_rain_onset,Lmax_voxels,source_voxel_file,main_percentile,min_component_voxels
S1,T_17:34,3.56,1484,Gridder45s11734log.csv,90,5
S1,T_18:12,4.20,270,Gridder40S11812log.csv,90,5
S1,T_19:34,5.56,3851,Gridder39s11934log.csv,90,5
S1,T_21:00,7.00,11346,Gridder57s12100log.csv,90,5
S1,T_21:42,7.70,27870,Gridder42s12142log.csv,90,5
S1,T_22:08,8.13,39829,Gridder41s12208log.csv,90,5
S1,T_22:38,8.63,43203,Gridder43s12238log.csv,90,5
S2,T_10:55,1.91,0,Gridder64s2105540log.csv,90,5
S2,T_12:00,3.00,13,Gridder63s2120054log.csv,90,5
S2,T_15:13,6.21,171,Gridder62s2151308log.csv,90,5
S2,T_18:06,9.10,4066,Gridder60s2180637log.csv,90,5
S2,T_20:37,11.61,6440,Gridder61s2203747log.csv,90,5
S4,T_12:00,3.00,12,Gridder72s41200log.csv,90,5
S4,T_16:00,7.00,241,Gridder71s41600log.csv,90,5
S4,T_17:00,8.00,696,Gridder74S41700log.csv,90,5
S4,T_18:30,9.00,2214,Gridder75S41800log.csv,90,5
S4,T_19:00,10.00,4216,Gridder76S41900log.csv,90,5
S4,T_20:30,11.50,8123,Gridder68s42030log.csv,90,5
