metric,case,model,row_index,column_index,value
R2,S1,Logistic,0,0,0.9915
R2,S1,Exponential,0,1,0.9565
R2,S1,Linear,0,2,0.8348
R2,S1,Power-law,0,3,0.9704
R2,S2,Logistic,1,0,1.0000
R2,S2,Exponential,1,1,0.9291
R2,S2,Linear,1,2,0.8627
R2,S2,Power-law,1,3,0.9627
R2,S4,Logistic,2,0,0.9989
R2,S4,Exponential,2,1,0.9825
R2,S4,Linear,2,2,0.6616
R2,S4,Power-law,2,3,0.9938
AICc,S1,Logistic,0,0,117.066
AICc,S1,Exponential,0,1,121.488
AICc,S1,Linear,0,2,130.827
AICc,S1,Power-law,0,3,118.791
AICc,S2,Logistic,1,0,46.094
AICc,S2,Exponential,1,1,75.603
AICc,S2,Linear,1,2,78.906
AICc,S2,Power-law,1,3,72.389
AICc,S4,Logistic,2,0,72.633
AICc,S4,Exponential,2,1,79.222
AICc,S4,Linear,2,2,97.011
AICc,S4,Power-law,2,3,73.023
BIC,S1,Logistic,0,0,108.904
BIC,S1,Exponential,0,1,118.380
BIC,S1,Linear,0,2,127.718
BIC,S1,Power-law,0,3,115.683
BIC,S2,Logistic,1,0,40.923
BIC,S2,Exponential,1,1,72.822
BIC,S2,Linear,1,2,76.125
BIC,S2,Power-law,1,3,69.608
BIC,S4,Logistic,2,0,68.008
BIC,S4,Exponential,2,1,76.805
BIC,S4,Linear,2,2,94.594
BIC,S4,Power-law,2,3,70.607
