MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
42.59,0,47.1,0,36.8,0
42.69,0,47,0,36.9,0
42.81,0,47,0,36.9,0
42.5,0,46.9,0,36.9,0
42.81,0,47,0,36.8,0
42.69,0,47.1,0,36.9,0
42.59,0,47,0,36.8,0
42.59,0,46.9,0,36.8,0
42.5,0,47.2,0,36.8,0
42.59,0,47,0,36.9,0
42.59,0,47,0,36.9,0
42.69,0,47,0,36.9,0
42.81,0,47.1,0,36.9,0
42.69,0,47.2,0,36.8,0
42.69,0,47.1,0,36.8,0
42.69,0,47.1,0,36.9,0
42.69,0,47,0,36.8,0
43,0,46.9,0,36.9,0
42.81,0,47.1,0,36.8,0
42.69,0,47.2,0,36.9,0
42.81,0,47,0,36.9,0
42.81,0,47.1,0,36.9,0
42.59,0,47,0,36.9,0
42.81,0,47,0,36.8,0
42.91,0,47,0,36.9,0
42.59,0,47.1,0,36.9,0
42.59,0,47,0,36.9,0
42.5,0,47.1,0,36.8,0
42.69,0,47,0,36.9,0
42.59,0,47,0,36.9,0
42.81,0,47.2,0,36.9,0
42.81,0,47.1,0,36.8,0
42.69,0,47.2,0,36.8,0
42.59,0,47,0,36.8,0
42.91,0,47,0,36.9,0
42.69,0,47,0,36.9,0
42.59,0,47,0,36.9,0
42.59,0,47,0,36.8,0
42.91,0,47,0,36.8,0
42.81,0,47,0,36.8,0
42.91,0,47,0,36.9,0
42.69,0,47.1,0,36.8,0
42.5,0,47,0,36.9,0
42.69,0,46.9,0,36.8,0
42.69,0,46.9,0,36.8,0
42.69,0,47.1,0,36.9,0
42.81,0,47.1,0,36.9,0
42.81,0,46.9,0,36.9,0
42.5,0,47,0,36.9,0
42.81,0,47.1,0,36.9,0
42.91,0,47.2,0,36.9,0
42.81,0,47.1,0,36.9,0
42.69,0,47,0,36.9,0
42.69,0,46.9,0,36.9,0
42.81,0,47,0,36.9,0
42.81,0,46.9,0,36.8,0
42.69,0,47,0,36.8,0
42.5,0,47.1,0,36.8,0
42.91,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.59,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.5,0,47.1,0,36.8,0
42.69,0,47.1,0,36.9,0
42.81,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.81,0,47,0,36.8,0
42.69,0,47,0,36.8,0
42.81,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.81,0,47.1,0,36.7,0
42.69,0,47.1,0,36.8,0
42.69,0,47.2,0,37,0
42.69,0,47,0,36.7,0
42.5,0,47.2,0,36.8,0
42.59,0,47,0,36.7,0
42.81,0,47.1,0,36.8,0
43,0,47.1,0,36.9,0
42.69,0,47,0,36.8,0
42.69,0,47.2,0,36.9,0
42.81,0,47.1,0,36.9,0
42.69,0,47.1,0,36.9,0
42.5,0,47,0,36.8,0
42.69,0,47,0,36.8,0
42.69,0,47.3,0,36.8,0
42.59,0,47.2,0,36.8,0
42.69,0,46.9,0,36.8,0
42.59,0,47.1,0,36.8,0
42.59,0,47,0,36.8,0
42.81,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.59,0,47.2,0,36.9,0
42.81,0,47.2,0,36.8,0
42.69,0,47.1,0,36.9,0
42.69,0,47,0,36.8,0
42.69,0,46.9,0,36.9,0
42.59,0,47,0,36.8,0
42.69,0,46.9,0,36.9,0
42.69,0,47.1,0,36.9,0
42.69,0,46.9,0,36.9,0
42.69,0,47,0,36.8,0
42.81,0,47.1,0,36.9,0
42.81,0,47,0,36.9,0
42.69,0,47,0,36.9,0
42.81,0,47,0,36.8,0
42.69,0,47.1,0,36.9,0
42.69,0,47.1,0,36.9,0
42.69,0,47.1,0,36.9,0
42.81,0,47,0,36.9,0
42.69,0,47,0,36.9,0
42.69,0,47,0,36.8,0
42.59,0,47.1,0,36.9,0
42.4,0,47.2,0,36.9,0
42.69,0,47.2,0,36.8,0
42.59,0,47,0,36.8,0
42.91,0,47.1,0,36.8,0
42.69,0,47,0,36.9,0
42.59,0,47,0,36.9,0
42.91,0,47.1,0,36.9,0
42.59,0,47.1,0,36.8,0
42.81,0,47.1,0,36.9,0
42.81,0,47.2,0,36.8,0
42.81,0,47,0,36.8,0
42.59,0,47.2,0,36.8,0
42.59,0,47.1,0,36.9,0
42.59,0,46.9,0,36.8,0
42.81,0,47,0,36.9,0
42.81,0,47,0,36.8,0
42.69,0,47.1,0,36.9,0
42.59,0,47.1,0,36.8,0
42.59,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.69,0,47.1,0,36.9,0
42.59,0,47,0,36.9,0
42.81,0,47.1,0,36.9,0
42.81,0,47.1,0,36.9,0
42.59,0,47.2,0,36.8,0
42.59,0,47.2,0,36.8,0
42.69,0,47.1,0,36.9,0
42.69,0,47.1,0,36.9,0
42.81,0,47.1,0,36.9,0
42.69,0,47.2,0,36.9,0
42.5,0,47.1,0,36.9,0
42.81,0,47.1,0,36.8,0
42.5,0,47,0,36.8,0
42.59,0,47.1,0,36.8,0
42.5,0,47,0,36.8,0
42.69,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
42.81,0,47.1,0,36.9,0
42.59,0,47.2,0,36.9,0
42.69,0,47.1,0,36.8,0
42.5,0,47,0,36.9,0
42.59,0,47,0,36.8,0
42.69,0,47,0,36.8,0
42.69,0,47,0,36.9,0
42.59,0,47.1,0,36.8,0
42.69,0,47.1,0,36.8,0
42.81,0,47,0,36.9,0
42.59,0,47.4,0,36.8,0
42.69,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
42.59,0,47.1,0,36.7,0
42.59,0,47.1,0,36.8,0
42.59,0,47.1,0,36.8,0
42.4,0,47,0,36.9,0
42.91,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
43,0,47.1,0,36.8,0
42.69,0,47.1,0,36.9,0
42.69,0,47.1,0,36.8,0
42.59,0,47.1,0,36.8,0
42.69,0,47.1,0,36.9,0
42.81,0,47.1,0,36.8,0
42.81,0,47.2,0,36.8,0
42.81,0,47.1,0,36.8,0
42.81,0,47.2,0,36.8,0
42.5,0,47.2,0,36.8,0
42.81,0,47.2,0,36.8,0
42.69,0,47.1,0,36.8,0
42.59,0,47.1,0,36.8,0
42.81,0,47.1,0,36.9,0
42.69,0,47.2,0,36.8,0
42.59,0,47.1,0,36.8,0
42.69,0,47,0,36.9,0
42.69,0,47.1,0,36.8,0
42.69,0,47,0,36.8,0
42.81,0,47.1,0,36.8,0
42.81,0,47,0,36.9,0
42.69,0,47,0,36.9,0
42.59,0,47.1,0,36.8,0
42.69,0,47,0,36.7,0
42.69,0,47.2,0,36.9,0
42.69,0,47.1,0,36.8,0
42.81,0,47,0,36.8,0
42.81,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
42.69,0,46.9,0,36.9,0
42.69,0,47,0,36.8,0
42.81,0,47.1,0,36.8,0
42.69,0,47.1,0,36.8,0
42.59,0,47,0,36.9,0
42.59,0,47,0,36.9,0
42.59,0,47.1,0,36.8,0
42.59,0,47.1,0,36.9,0
42.81,0,47.1,0,36.8,0
42.81,0,47.1,0,36.9,0
42.59,0,47.2,0,36.7,0
42.59,0,47.1,0,36.9,0
42.91,0,47.2,0,36.8,0
42.81,0,47.1,0,36.8,0
42.5,0,47.2,0,36.9,0
42.59,0,47.1,0,36.8,0
42.81,0,47.2,0,36.8,0
42.91,0,47.1,0,36.7,0
42.69,0,47.1,0,36.9,0
42.81,0,47.3,0,36.9,0
42.69,0,47.2,0,36.8,0
42.59,0,47.2,0,36.8,0
42.59,0,47.3,0,36.8,0
42.69,0,47.1,0,36.8,0
42.5,0,47,0,36.8,0
42.81,0,47.1,0,36.7,0
43,0,47,0,36.8,0
42.69,0,47,0,36.8,0
42.69,0,47,0,36.8,0
42.91,0,47.2,0,36.8,0
42.69,0,47.1,0,36.9,0
42.91,0,47.1,0,36.8,0
42.91,0,47.1,0,36.9,0
42.5,0,47.2,0,36.8,0
42.5,0,47.1,0,36.8,0
42.5,0,47.2,0,36.8,0
42.69,0,47.2,0,36.9,0
42.59,0,47.1,0,36.8,0
42.81,0,47.1,0,36.7,0
42.91,0,47,0,36.8,0
42.69,0,47,0,36.8,0
43,0,47.1,0,36.7,0
42.81,0,47.1,0,36.9,0
42.69,0,47.2,0,36.8,0
42.69,0,47.3,0,36.8,0
42.81,0,47.1,0,36.7,0
43,0,47,0,36.8,0
42.69,0,47.2,0,36.7,0
42.69,0,47.2,0,36.8,0
42.69,0,47.1,0,36.8,0
42.81,0,47,0,36.8,0
42.69,0,47.1,0,36.7,0
42.69,0,47.1,0,36.8,0
42.69,0,47.1,0,36.8,0
42.91,0,47,0,36.9,0
42.69,0,47,0,36.8,0
42.69,0,47.1,0,36.8,0
42.59,0,47.1,0,36.8,0
42.59,0,46.9,0,36.8,0
42.91,0,47.2,0,36.7,0
42.69,0,47.1,0,36.8,0
42.81,0,47.2,0,36.7,0
42.69,0,47,0,36.8,0
42.59,0,47.1,0,36.8,0
42.81,0,47.1,0,36.9,0
42.69,0,47.2,0,36.7,0
42.81,0,47.1,0,36.8,0
42.91,0,47.1,0,36.8,0
42.69,0,47.1,0,36.8,0
42.69,0,47.1,0,36.7,0
42.69,0,47.1,0,36.9,0
42.59,0,47.1,0,36.8,0
43,0,47.2,0,36.8,0
42.81,0,47.1,0,36.8,0
42.91,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
43,0,47.1,0,36.9,0
42.91,0,47.1,0,36.8,0
42.81,0,47.1,0,36.8,0
42.59,0,47.2,0,36.8,0
42.69,0,47.1,0,36.9,0
42.59,0,47.1,0,36.8,0
42.81,0,47.2,0,36.8,0
42.69,0,47,0,36.9,0
42.5,0,47.1,0,36.8,0
42.69,0,47.3,0,37,0
42.69,0,47.1,0,36.9,0
42.69,0,47.2,0,36.8,0
42.69,0,47.1,0,36.7,0
42.81,0,47.1,0,36.8,0
42.69,0,47.1,0,36.8,0
42.81,0,47.2,0,36.8,0
43,0,47.1,0,36.7,0
42.81,0,47.1,0,36.8,0
42.5,0,47.1,0,36.7,0
42.91,0,47.2,0,36.8,0
42.69,0,47.1,0,36.8,0
42.5,0,47.2,0,36.8,0
42.81,0,47,0,36.7,0
43,0,47,0,36.8,0
42.59,0,47.1,0,36.8,0
42.69,0,47,0,36.9,0
42.81,0,47.3,0,36.8,0
42.69,0,47.2,0,36.7,0
