MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26,0
36.1,0,32,0,26,0
36,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,31.9,0,26.1,0
36,0,32,0,26.1,0
36,0,31.9,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32.1,0,26.1,0
36,0,32.1,0,26.1,0
36.1,0,32,0,26.2,0
36,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,31.9,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
35.9,0,32,0,26.2,0
36.1,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.2,0
36.1,0,31.9,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,31.9,0,26.1,0
36.1,0,32,0,26.1,0
36,0,31.9,0,26.1,0
36.2,0,32.1,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.1,0
36,0,31.9,0,26.1,0
36.2,0,32,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.2,0
36.1,0,31.9,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,31.9,0,26.1,0
36.2,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.2,0,32,0,26.2,0
36,0,31.9,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,32.1,0,26.1,0
36.2,0,32.1,0,26.2,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36,0,32,0,26.1,0
36.1,0,32,0,26.2,0
36,0,32.1,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,31.9,0,26.1,0
36.1,0,32.1,0,26.1,0
36.1,0,31.9,0,26.2,0
36.1,0,32,0,26.1,0
36.3,0,32,0,26.1,0
36.2,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.1,0,32,0,26.1,0
36.2,0,32,0,26.1,0
