MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.60108,0,36.79816,7.06138E-5
27.49959,0,36.79816,7.06138E-5
27.60108,0,36.89998,2.46517E-4
27.60108,0,36.69663,4.12844E-4
27.49959,0,36.89998,4.12844E-4
27.60108,0,36.79816,4.12844E-4
27.60108,0,36.89998,4.12844E-4
27.60108,0,36.79816,4.70609E-4
27.60108,0,36.89998,4.85319E-4
27.49959,0,36.79816,5.75124E-4
27.60108,0,36.79816,7.4501E-4
27.49959,0,37.00208,9.21538E-4
27.49959,0,36.79816,0.00108
27.49959,0,36.79816,0.00113
27.60108,0,37.00208,0.00115
27.49959,0,36.89998,0.00119
27.49959,0,36.89998,0.00119
27.49959,0,36.89998,0.00125
27.60108,0,36.79816,0.0013
27.49959,0,36.89998,0.00138
27.49959,0,36.89998,0.00145
27.49959,0,36.89998,0.00147
27.60108,0,36.89998,0.00148
27.60108,0,36.89998,0.00151
27.49959,0,36.89998,0.00151
27.49959,0,36.89998,0.00152
27.49959,0,36.89998,0.00155
27.49959,0,36.89998,0.00155
27.49959,0,36.79816,0.00155
27.49959,0,36.89998,0.00158
27.49959,0,36.79816,0.00158
27.60108,0,36.89998,0.00158
27.49959,0,36.89998,0.00158
27.60108,0,36.89998,0.00158
27.60108,0,37.00208,0.00158
27.49959,0,36.89998,0.00158
27.60108,0,36.89998,0.0016
27.60108,0,36.89998,0.0016
27.60108,0,36.79816,0.0016
27.49959,0,36.79816,0.0016
27.60108,0,36.89998,0.0016
27.60108,0,36.89998,0.0016
27.49959,0,36.89998,0.0016
27.60108,0,36.89998,0.00162
27.49959,0,37.00208,0.00163
27.60108,0,36.79816,0.00163
27.49959,0,36.79816,0.00167
27.60108,0,36.89998,0.00167
27.60108,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.49959,0,36.79816,0.00167
27.60108,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.60108,0,36.79816,0.00167
27.49959,0,36.89998,0.00167
27.49959,0,37.00208,0.00167
27.60108,0,36.89998,0.00167
27.60108,0,36.89998,0.00167
27.60108,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.60108,0,36.79816,0.00167
27.49959,0,36.89998,0.00167
27.60108,0,36.79816,0.00167
27.49959,0,36.89998,0.00167
27.60108,0,36.89998,0.00167
27.60108,0,37.00208,0.00167
27.49959,0,36.79816,0.00167
27.60108,0,37.00208,0.00167
27.60108,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.49959,0,36.89998,0.00167
27.60108,0,36.89998,0.00167
27.49959,0,37.00208,0.00169
27.60108,0,36.89998,0.00169
27.60108,0,36.79816,0.00169
27.60108,0,36.79816,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,37.00208,0.0017
27.60108,0,36.79816,0.0017
27.49959,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.49959,0,37.00208,0.0017
27.49959,0,36.89998,0.0017
27.60108,0,36.79816,0.0017
27.60108,0,37.00208,0.0017
27.70296,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.79816,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
27.49959,0,36.89998,0.0017
27.60108,0,36.79816,0.0017
27.60108,0,36.89998,0.0017
27.60108,0,36.79816,0.0017
27.49959,0,36.89998,0.0017
27.60108,0,36.89998,0.0017
