PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
0.02673,0,0.00769,0,0.0021,0
0.02731,0,0.00799,0,0.00206,0
0.02715,0,0.00759,0,0.00225,0
0.02712,0,0.00762,0,0.00219,0
0.02744,0,0.00748,0,0.00166,0
0.02749,0,0.00706,0,0.00146,0
0.02759,0,0.00762,0,0.00155,0
0.02809,0,0.00728,0,0.00156,0
0.02764,0,0.00774,0,0.00152,0
0.02755,0,0.00836,0,0.00172,0
0.02837,0,0.00785,0,0.00183,0
0.02757,0,0.00748,0,0.00186,0
0.02811,0,0.0077,0,0.00131,0
0.02813,0,0.00781,0,0.00137,0
0.0282,0,0.00778,0,0.0016,0
0.02816,0,0.00777,0,0.00153,0
0.02783,0,0.00752,0,0.00191,0
0.02807,0,0.00747,0,0.0019,0
0.02752,0,0.00776,0,0.0018,0
0.02801,0,0.00797,0,0.00169,0
0.02801,0,0.00806,0,0.00192,0
0.0277,0,0.00787,0,0.00187,0
0.02815,0,0.00768,0,0.00184,0
0.02781,0,0.00762,0,0.00178,0
0.02807,0,0.00759,0,0.00189,0
0.02784,0,0.00784,0,0.00169,0
0.02828,0,0.00807,0,0.00147,0
0.02816,0,0.00788,0,0.00167,0
0.02802,0,0.00796,0,0.00156,0
0.02832,0,0.00798,0,0.0015,0
0.0284,0,0.00769,0,0.00146,0
0.02839,0,0.00712,0,0.00182,0
0.02803,0,0.0077,0,0.00191,0
0.02834,0,0.00771,0,0.00215,0
0.02829,0,0.00837,0,0.0021,0
0.02803,0,0.00793,0,0.00206,0
0.02819,0,0.00817,0,0.00186,0
0.02853,0,0.00842,0,0.0017,0
0.0283,0,0.00891,0,0.0021,0
0.02842,0,0.00876,0,0.00248,0
0.02875,0,0.00859,0,0.00241,0
0.02847,0,0.00828,0,0.00241,0
0.02877,0,0.00828,0,0.0025,0
0.0287,0,0.00817,0,0.00266,0
0.02881,0,0.00781,0,0.00214,0
0.02885,0,0.0077,0,0.00241,0
0.02904,0,0.00808,0,0.00231,0
0.02906,0,0.00816,0,0.00238,0
0.02863,0,0.00824,0,0.00208,0
0.0292,0,0.00814,0,0.00214,0
0.02877,0,0.00863,0,0.00242,0
0.02836,0,0.00854,0,0.00208,0
0.02887,0,0.00876,0,0.00239,0
0.02876,0,0.00869,0,0.00214,0
0.02871,0,0.0091,0,0.00212,0
0.02911,0,0.00876,0,0.00197,0
0.02891,0,0.00842,0,0.00205,0
0.02923,0,0.00836,0,0.00195,0
0.0295,0,0.0086,0,0.00143,0
0.02952,0,0.0083,0,0.00173,0
0.02936,0,0.00793,0,0.00199,0
0.02966,0,0.00856,0,0.00202,0
0.02961,0,0.00838,0,0.00192,0
0.02957,0,0.00905,0,0.00165,0
0.02957,0,0.00897,0,0.00175,0
0.02954,0,0.00906,0,0.00203,0
0.02963,0,0.0092,0,0.00183,0
0.02977,0,0.00917,0,0.00197,0
0.02983,0,0.00894,0,0.00166,0
0.02975,0,0.00925,0,0.0017,0
0.03003,0,0.00983,0,0.00138,0
0.02983,0,0.01042,0,0.00156,0
0.02994,0,0.01055,0,0.0013,0
0.03017,0,0.01045,0,0.00112,0
0.03007,0,0.01031,0,0.00149,0
0.03008,0,0.01012,0,0.00129,0
0.02993,0,0.01019,0,0.00132,0
0.03021,0,0.01,0,0.0012,0
0.03029,0,0.00996,0,0.0013,0
0.03,0,0.0099,0,0.00152,0
0.03007,0,0.00952,0,0.00155,0
0.03016,0,0.00977,0,0.0017,0
0.03017,0,0.00907,0,0.00149,0
0.03041,0,0.00904,0,0.00147,0
0.03038,0,0.00864,0,0.00164,0
0.03052,0,0.0088,0,0.0016,0
0.03026,0,0.00944,0,0.00161,0
0.02998,0,0.0086,0,0.00122,0
0.03021,0,0.00851,0,9.1E-4,0
0.02975,0,0.00843,0,8.5E-4,0
0.02978,0,0.00797,0,7.7E-4,0
0.0302,0,0.00768,0,8.1E-4,0
0.03078,0,0.00803,0,0.0013,0
0.03047,0,0.00809,0,0.00126,0
0.03049,0,0.0078,0,0.00174,0
0.03021,0,0.00747,0,0.00131,0
0.03055,0,0.00767,0,0.00155,0
0.03048,0,0.00784,0,0.00164,0
0.03002,0,0.00714,0,0.00156,0
0.03037,0,0.00702,0,0.00156,0
0.03005,0,0.00708,0,0.00191,0
0.02979,0,0.00712,0,0.00191,0
0.03005,0,0.00761,0,0.00202,0
0.03083,0,0.00794,0,0.00164,0
0.03043,0,0.00759,0,0.00194,0
0.02976,0,0.00752,0,0.00253,0
0.03035,0,0.00756,0,0.00202,0
0.03031,0,0.00784,0,0.00191,0
0.03122,0,0.00786,0,0.00205,0
0.031,0,0.00766,0,0.00229,0
0.0308,0,0.0081,0,0.00208,0
0.03067,0,0.00784,0,0.00193,0
0.03062,0,0.00826,0,0.00237,0
0.03076,0,0.00839,0,0.00199,0
0.03058,0,0.00796,0,0.00197,0
0.03079,0,0.00777,0,0.00196,0
0.03056,0,0.00806,0,0.00204,0
0.03075,0,0.00837,0,0.00168,0
0.03109,0,0.00882,0,0.0016,0
0.03123,0,0.00921,0,0.00185,0
0.03105,0,0.00925,0,0.00217,0
0.03122,0,0.00897,0,0.00211,0
0.03114,0,0.00878,0,0.00176,0
0.0311,0,0.00854,0,0.00189,0
0.03121,0,0.00911,0,0.00215,0
0.03109,0,0.00911,0,0.00241,0
0.03104,0,0.00874,0,0.00202,0
0.03137,0,0.00885,0,0.0024,0
0.03179,0,0.00926,0,0.00266,0
0.03141,0,0.00956,0,0.00265,0
0.03179,0,0.00956,0,0.00211,0
0.03182,0,0.0093,0,0.00215,0
0.03182,0,0.00936,0,0.00247,0
0.03186,0,0.00906,0,0.00283,0
0.03207,0,0.0096,0,0.00211,0
0.03183,0,0.00941,0,0.00205,0
0.03163,0,0.00923,0,0.00222,0
0.03183,0,0.00928,0,0.00217,0
0.03179,0,0.00904,0,0.00211,0
0.0316,0,0.00948,0,0.00192,0
0.03208,0,0.00943,0,0.00256,0
0.03183,0,0.00944,0,0.00229,0
0.03178,0,0.00951,0,0.00248,0
0.03181,0,0.00967,0,0.00247,0
0.03186,0,0.00923,0,0.00223,0
0.03133,0,0.00937,0,0.00198,0
0.0319,0,0.00986,0,0.00132,0
0.03173,0,0.00943,0,0.00132,0
0.03189,0,0.00987,0,0.00137,0
0.03153,0,0.00928,0,0.00185,0
0.03206,0,0.00916,0,0.00182,0
0.03207,0,0.00962,0,0.00153,0
0.03207,0,0.0098,0,0.00151,0
0.03218,0,0.00979,0,0.00173,0
0.03186,0,0.0097,0,0.00207,0
0.03173,0,0.00997,0,0.00243,0
0.03179,0,0.00966,0,0.00169,0
0.03191,0,0.00945,0,0.00193,0
0.03218,0,0.00948,0,0.00207,0
0.03204,0,0.00888,0,0.00216,0
0.03229,0,0.00944,0,0.0019,0
0.03218,0,0.00979,0,0.00187,0
0.0323,0,0.00966,0,0.00253,0
0.03222,0,0.00959,0,0.0023,0
0.03236,0,0.00967,0,0.00237,0
0.03204,0,0.00976,0,0.00213,0
0.03218,0,0.00936,0,0.00208,0
0.03236,0,0.01009,0,0.00182,0
0.03271,0,0.00968,0,0.00142,0
0.03267,0,0.00963,0,0.00146,0
0.03252,0,0.00985,0,0.0016,0
0.03275,0,0.00974,0,0.0016,0
0.03253,0,0.01002,0,0.00177,0
0.03204,0,0.01025,0,0.00152,0
0.03242,0,0.01007,0,0.00132,0
0.03293,0,0.01011,0,0.00139,0
0.03218,0,0.00983,0,0.00213,0
0.03274,0,0.01016,0,0.00151,0
0.0328,0,0.01064,0,0.0014,0
0.03255,0,0.0103,0,0.00224,0
0.03278,0,0.01095,0,0.00239,0
0.03292,0,0.01092,0,0.00214,0
0.0329,0,0.01094,0,0.00177,0
0.03223,0,0.01055,0,0.0023,0
0.03262,0,0.01072,0,0.00218,0
0.03275,0,0.01066,0,0.00175,0
0.03234,0,0.01036,0,0.00223,0
0.03263,0,0.0105,0,0.00257,0
0.03301,0,0.01115,0,0.00275,0
