PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
0.01134,0,0.00579,0,-0.00183,0
0.01115,0,0.00572,0,-0.00205,0
0.01113,0,0.006,0,-0.00128,0
0.01073,0,0.00595,0,-0.00134,0
0.01049,0,0.00582,0,-0.00179,0
0.01057,0,0.00607,0,-0.00192,0
0.01103,0,0.00625,0,-0.00184,0
0.01103,0,0.00667,0,-0.00167,0
0.01126,0,0.00662,0,-0.00158,0
0.01131,0,0.00655,0,-0.00132,0
0.01145,0,0.00651,0,-0.00137,0
0.01127,0,0.00641,0,-0.00133,0
0.01142,0,0.00618,0,-0.00181,0
0.01153,0,0.00635,0,-0.00156,0
0.01151,0,0.00654,0,-0.00141,0
0.01121,0,0.00612,0,-0.00158,0
0.01143,0,0.00629,0,-0.00171,0
0.01106,0,0.00628,0,-0.00158,0
0.0112,0,0.00649,0,-0.00122,0
0.01167,0,0.00667,0,-0.00146,0
0.01176,0,0.00717,0,-9.20E-04,0
0.01163,0,0.00675,0,-0.00108,0
0.01142,0,0.00674,0,-0.0012,0
0.01168,0,0.00686,0,-0.00155,0
0.01138,0,0.00667,0,-0.00133,0
0.01135,0,0.00673,0,-0.00132,0
0.01165,0,0.00646,0,-0.00125,0
0.01153,0,0.00658,0,-0.00124,0
0.01167,0,0.00662,0,-6.80E-04,0
0.0115,0,0.00684,0,-4.70E-04,0
0.01174,0,0.00628,0,-6.60E-04,0
0.01165,0,0.00692,0,-7.00E-04,0
0.01159,0,0.00725,0,-0.00103,0
0.01184,0,0.00718,0,-6.10E-04,0
0.01224,0,0.0072,0,-4.00E-04,0
0.01206,0,0.00722,0,-5.40E-04,0
0.01195,0,0.00745,0,-4.80E-04,0
0.01217,0,0.0069,0,-6.30E-04,0
0.01218,0,0.00733,0,-9.20E-04,0
0.01242,0,0.0076,0,-7.60E-04,0
0.0123,0,0.00738,0,-4.30E-04,0
0.01228,0,0.00752,0,-2.30E-04,0
