PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
-0.00429,0,0.01217,0,0.01692,0
-0.00398,0,0.012,0,0.01486,0
-0.00411,0,0.01216,0,0.01749,0
-0.00389,0,0.01247,0,0.01726,0
-0.00378,0,0.01224,0,0.01547,0
-0.00416,0,0.01232,0,0.01825,0
-0.00392,0,0.01266,0,0.01726,0
-0.00377,0,0.01291,0,0.01518,7.06138E-5
-0.00425,0,0.01234,0,0.01741,7.06138E-5
-0.00401,0,0.01254,0,0.01774,7.06138E-5
-0.00374,0,0.0128,0,0.01559,7.06138E-5
-0.00344,0,0.01297,0,0.01782,7.06138E-5
-0.00368,0,0.01286,0,0.01797,7.06138E-5
-0.00336,0,0.01305,0,0.01588,7.06138E-5
-0.00355,0,0.01273,0,0.0175,7.06138E-5
-0.0032,0,0.01282,0,0.01792,7.06138E-5
-0.00354,0,0.01257,0,0.01567,7.06138E-5
-0.00343,0,0.01312,0,0.01772,7.06138E-5
-0.00344,0,0.0133,0,0.01816,7.06138E-5
-0.00307,0,0.01278,0,0.01629,7.06138E-5
-0.00338,0,0.01313,0,0.01852,7.06138E-5
-0.00345,0,0.01384,0,0.01803,7.06138E-5
-0.0031,0,0.01356,0,0.01606,7.06138E-5
-0.00346,0,0.01389,0,0.01833,7.06138E-5
-0.00341,0,0.01431,0,0.01809,7.06138E-5
-0.00328,0,0.01444,0,0.01628,7.06138E-5
-0.0035,0,0.01431,0,0.0184,7.06138E-5
-0.00367,0,0.01423,0,0.01866,7.06138E-5
-0.00356,0,0.01416,0,0.01652,1.89281E-4
-0.00347,0,0.014,0,0.01827,1.89281E-4
-0.00335,0,0.01445,0,0.01857,2.46517E-4
-0.0037,0,0.0141,0,0.01686,2.46517E-4
-0.00342,0,0.01434,0,0.0186,2.73002E-4
-0.00352,0,0.01463,0,0.01914,2.73002E-4
-0.00327,0,0.01435,0,0.01693,2.73002E-4
-0.00343,0,0.01447,0,0.01819,4.09856E-4
-0.00358,0,0.01469,0,0.01987,4.09856E-4
-0.0037,0,0.01475,0,0.01754,4.12844E-4
-0.00328,0,0.01439,0,0.0171,4.12844E-4
-0.00324,0,0.01421,0,0.01742,4.12844E-4
-0.00355,0,0.01418,0,0.0203,4.12844E-4
-0.00372,0,0.01445,0,0.01741,4.12844E-4
-0.00324,0,0.01437,0,0.01746,4.12844E-4
-0.00404,0,0.01454,0,0.01696,4.12844E-4
-0.00351,0,0.01467,0,0.01779,4.12844E-4
-0.00313,0,0.01475,0,0.02059,4.12844E-4
-0.00235,0,0.01463,0,0.01842,4.12844E-4
-0.00354,0,0.015,0,0.01809,4.12844E-4
-0.00287,0,0.01485,0,0.01799,4.12844E-4
-0.00253,0,0.01477,0,0.0177,4.12844E-4
-0.00295,0,0.01456,0,0.0174,4.12844E-4
-0.0031,0,0.01439,0,0.01771,4.12844E-4
-0.003,0,0.01462,0,0.01765,4.12844E-4
-0.00314,0,0.01467,0,0.02042,4.12844E-4
-0.00265,0,0.01493,0,0.01862,4.12844E-4
-0.00272,0,0.01494,0,0.01722,4.12844E-4
-0.00264,0,0.01444,0,0.01839,4.12844E-4
-0.0029,0,0.01438,0,0.0196,4.12844E-4
-0.00296,0,0.01486,0,0.01787,4.12844E-4
-0.00268,0,0.01519,0,0.01732,4.12844E-4
-0.00287,0,0.01537,0,0.02041,4.12844E-4
-0.00239,0,0.01506,0,0.01803,4.12844E-4
-0.00287,0,0.01505,0,0.01773,4.12844E-4
-0.00285,0,0.01545,0,0.01814,4.12844E-4
-0.00267,0,0.01544,0,0.02007,4.12844E-4
-0.003,0,0.01523,0,0.02039,4.12844E-4
-0.00315,0,0.015,0,0.01749,4.12844E-4
-0.00255,0,0.0152,0,0.01753,4.12844E-4
-0.00242,0,0.01557,0,0.01738,4.12844E-4
-0.00298,0,0.01509,0,0.01768,4.12844E-4
-0.0027,0,0.01572,0,0.01779,4.12844E-4
-0.00248,0,0.01575,0,0.0209,4.70609E-4
-0.00268,0,0.01566,0,0.01964,4.70609E-4
-0.00307,0,0.01601,0,0.01789,4.70609E-4
-0.00274,0,0.01586,0,0.01998,4.70609E-4
-0.00288,0,0.016,0,0.01945,4.70609E-4
-0.00276,0,0.01605,0,0.0187,4.70609E-4
-0.00282,0,0.0159,0,0.02033,4.70609E-4
-0.00268,0,0.0164,0,0.01828,4.70609E-4
-0.00245,0,0.01592,0,0.019,4.70609E-4
-0.00235,0,0.01601,0,0.02016,4.70609E-4
-0.00196,0,0.01636,0,0.01836,4.70609E-4
-0.00224,0,0.01647,0,0.02002,4.70609E-4
-0.00206,0,0.01642,0,0.01997,4.85319E-4
-0.00228,0,0.01643,0,0.01872,4.85319E-4
-0.0023,0,0.01653,0,0.02112,4.85319E-4
-0.00189,0,0.01634,0,0.01987,4.85319E-4
-0.00224,0,0.01662,0,0.0189,4.85319E-4
-0.00253,0,0.01696,0,0.02133,4.85319E-4
-0.00317,0,0.01692,0,0.01957,4.85319E-4
-0.00227,0,0.01685,0,0.01912,4.85319E-4
-0.00259,0,0.01614,0,0.02133,4.85319E-4
-0.00238,0,0.0168,0,0.01903,5.02324E-4
-0.00297,0,0.01687,0,0.01957,5.02324E-4
-0.00264,0,0.01689,0,0.02103,5.02324E-4
-0.00222,0,0.01714,0,0.01879,5.02324E-4
-0.00248,0,0.01682,0,0.02036,5.02324E-4
-0.00201,0,0.01713,0,0.02096,5.02324E-4
-0.00199,0,0.01688,0,0.01848,5.02324E-4
-0.00203,0,0.01706,0,0.02067,5.75124E-4
-0.00247,0,0.01697,0,0.02038,5.75124E-4
-0.00172,0,0.01687,0,0.01872,5.75124E-4
