MS,-0.25,VWC,-0.25,PWP,-0.25
Times,y,Times,y,Times,y
250719 09:00:00,36.1,2025-7-19 9:00,0.291,9:00,0.01134
250719 09:00:00,36.1,2025-7-19 9:00,0.291,9:00,0.01115
250719 09:00:00,36.1,2025-7-19 9:00,0.291,9:00,0.01113
250719 09:00:00,36,2025-7-19 9:00,0.292,9:00,0.01073
250719 09:00:00,36.2,2025-7-19 9:00,0.291,9:00,0.01049
250719 09:00:00,36.2,2025-7-19 9:00,0.291,9:00,0.01057
250719 09:01:00,36.2,2025-7-19 9:01,0.291,9:00,0.01103
250719 09:01:00,36.2,2025-7-19 9:01,0.291,9:00,0.01103
250719 09:01:00,36.1,2025-7-19 9:01,0.291,9:00,0.01126
250719 09:01:00,36,2025-7-19 9:01,0.291,9:00,0.01131
250719 09:01:00,36.2,2025-7-19 9:01,0.292,9:00,0.01145
250719 09:01:00,36.2,2025-7-19 9:01,0.293,9:00,0.01127
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01142
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01153
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01151
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01121
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01143
250719 09:02:00,36.1,2025-7-19 9:02,0.292,9:00,0.01106
250719 09:03:00,36,2025-7-19 9:03,0.292,9:00,0.0112
250719 09:03:00,36,2025-7-19 9:03,0.292,9:00,0.01167
250719 09:03:00,36.1,2025-7-19 9:03,0.292,9:00,0.01176
250719 09:03:00,36.1,2025-7-19 9:03,0.292,9:00,0.01163
250719 09:03:00,36.1,2025-7-19 9:03,0.292,9:00,0.01142
250719 09:03:00,36.1,2025-7-19 9:03,0.292,9:00,0.01168
250719 09:04:00,36.1,2025-7-19 9:04,0.292,9:00,0.01138
250719 09:04:00,36.1,2025-7-19 9:04,0.291,9:00,0.01135
250719 09:04:00,36.2,2025-7-19 9:04,0.292,9:00,0.01165
250719 09:04:00,36.1,2025-7-19 9:04,0.292,9:00,0.01153
250719 09:04:00,36.1,2025-7-19 9:04,0.292,9:00,0.01167
250719 09:04:00,36,2025-7-19 9:04,0.292,9:00,0.0115
250719 09:05:00,36.1,2025-7-19 9:05,0.292,9:00,0.01174
250719 09:05:00,36.1,2025-7-19 9:05,0.292,9:00,0.01165
250719 09:05:00,36.1,2025-7-19 9:05,0.292,9:00,0.01159
250719 09:05:00,36.1,2025-7-19 9:05,0.291,9:00,0.01184
250719 09:05:00,36,2025-7-19 9:05,0.292,9:00,0.01224
250719 09:05:00,36.1,2025-7-19 9:05,0.292,9:00,0.01206
250719 09:06:00,36.2,2025-7-19 9:06,0.292,9:00,0.01195
250719 09:06:00,36.2,2025-7-19 9:06,0.292,9:00,0.01217
250719 09:06:00,36,2025-7-19 9:06,0.292,9:00,0.01218
250719 09:06:00,36.1,2025-7-19 9:06,0.292,9:00,0.01242
250719 09:06:00,36,2025-7-19 9:06,0.291,9:00,0.0123
250719 09:06:00,36.1,2025-7-19 9:06,0.292,9:00,0.01228
250719 09:07:00,36.1,2025-7-19 9:07,0.291,9:00,0.012
250719 09:07:00,36.1,2025-7-19 9:07,0.292,9:00,0.01191
250719 09:07:00,36.1,2025-7-19 9:07,0.291,9:00,0.01237
250719 09:07:00,36.1,2025-7-19 9:07,0.291,9:00,0.01197
250719 09:07:00,36,2025-7-19 9:07,0.291,9:00,0.01183
250719 09:07:00,36.1,2025-7-19 9:07,0.291,9:00,0.01218
250719 09:08:00,36,2025-7-19 9:08,0.291,9:00,0.01178
250719 09:08:00,36.1,2025-7-19 9:08,0.289,9:00,0.01197
250719 09:08:00,35.9,2025-7-19 9:08,0.289,9:00,0.01199
250719 09:08:00,36.1,2025-7-19 9:08,0.289,9:00,0.01217
250719 09:08:00,36.1,2025-7-19 9:08,0.29,9:00,0.01232
250719 09:08:00,36.2,2025-7-19 9:08,0.29,9:00,0.01217
250719 09:09:00,36.1,2025-7-19 9:09,0.29,9:00,0.01251
250719 09:09:00,36.2,2025-7-19 9:09,0.289,9:00,0.01233
250719 09:09:00,36.1,2025-7-19 9:09,0.289,9:00,0.01251
250719 09:09:00,36.1,2025-7-19 9:09,0.289,9:00,0.01274
250719 09:09:00,36.1,2025-7-19 9:09,0.288,9:00,0.01211
250719 09:09:00,36.2,2025-7-19 9:09,0.289,9:00,0.01265
250719 09:10:00,36.1,2025-7-19 9:10,0.289,9:01,0.0128
250719 09:10:00,36.1,2025-7-19 9:10,0.289,9:01,0.01268
250719 09:10:00,36.1,2025-7-19 9:10,0.289,9:01,0.01264
250719 09:10:00,36,2025-7-19 9:10,0.288,9:01,0.0127
250719 09:10:00,36.1,2025-7-19 9:10,0.289,9:01,0.01261
250719 09:10:00,36,2025-7-19 9:10,0.289,9:01,0.01259
250719 09:11:00,36.1,2025-7-19 9:11,0.289,9:01,0.01289
250719 09:11:00,36,2025-7-19 9:11,0.289,9:01,0.01309
250719 09:11:00,36.2,2025-7-19 9:11,0.289,9:01,0.01308
250719 09:11:00,36,2025-7-19 9:11,0.289,9:01,0.01305
250719 09:11:00,36.1,2025-7-19 9:11,0.289,9:01,0.01348
250719 09:11:00,36.2,2025-7-19 9:11,0.289,9:01,0.01317
250719 09:12:00,36.2,2025-7-19 9:12,0.289,9:01,0.01338
250719 09:12:00,36.1,2025-7-19 9:12,0.289,9:01,0.01303
250719 09:12:00,36.1,2025-7-19 9:12,0.288,9:01,0.01306
250719 09:12:00,36.1,2025-7-19 9:12,0.289,9:01,0.01351
250719 09:12:00,36,2025-7-19 9:12,0.289,9:01,0.01291
250719 09:12:00,36.2,2025-7-19 9:12,0.289,9:01,0.01271
250719 09:13:00,36.1,2025-7-19 9:13,0.289,9:01,0.01294
250719 09:13:00,36.1,2025-7-19 9:13,0.289,9:01,0.01287
250719 09:13:00,36.1,2025-7-19 9:13,0.289,9:01,0.01251
250719 09:13:00,36.1,2025-7-19 9:13,0.289,9:01,0.01294
250719 09:13:00,36.2,2025-7-19 9:13,0.289,9:01,0.01318
250719 09:13:00,36.1,2025-7-19 9:13,0.289,9:01,0.01321
250719 09:14:00,36.2,2025-7-19 9:14,0.289,9:01,0.01352
250719 09:14:00,36.1,2025-7-19 9:14,0.288,9:01,0.01319
250719 09:14:00,36.1,2025-7-19 9:14,0.289,9:01,0.01335
250719 09:14:00,36.1,2025-7-19 9:14,0.289,9:01,0.01304
250719 09:14:00,36.1,2025-7-19 9:14,0.288,9:01,0.01351
250719 09:14:00,36.1,2025-7-19 9:14,0.289,9:01,0.0133
250719 09:15:00,36.1,2025-7-19 9:15,0.289,9:01,0.013
250719 09:15:00,36.1,2025-7-19 9:15,0.289,9:01,0.01364
250719 09:15:00,36.1,2025-7-19 9:15,0.289,9:01,0.01347
250719 09:15:00,36.1,2025-7-19 9:15,0.289,9:01,0.01384
250719 09:15:00,36.1,2025-7-19 9:15,0.288,9:01,0.01362
250719 09:15:00,36.1,2025-7-19 9:15,0.288,9:01,0.01368
250719 09:16:00,36.2,2025-7-19 9:16,0.289,9:01,0.01401
250719 09:16:00,36.2,2025-7-19 9:16,0.289,9:01,0.0138
250719 09:16:00,36,2025-7-19 9:16,0.288,9:01,0.01416
250719 09:16:00,36.1,2025-7-19 9:16,0.29,9:01,0.01371
250719 09:16:00,36.2,2025-7-19 9:16,0.288,9:01,0.01407
250719 09:16:00,36.1,2025-7-19 9:16,0.289,9:01,0.01433
250719 09:17:00,36.2,2025-7-19 9:17,0.289,9:01,0.01391
250719 09:17:00,36.2,2025-7-19 9:17,0.288,9:01,0.01405
250719 09:17:00,36,2025-7-19 9:17,0.288,9:01,0.01418
250719 09:17:00,36,2025-7-19 9:17,0.288,9:01,0.01399
250719 09:17:00,36.1,2025-7-19 9:17,0.289,9:01,0.01397
250719 09:17:00,36.1,2025-7-19 9:17,0.288,9:01,0.01379
250719 09:18:00,36.1,2025-7-19 9:18,0.288,9:01,0.01385
250719 09:18:00,36.1,2025-7-19 9:18,0.288,9:01,0.01426
250719 09:18:00,36.1,2025-7-19 9:18,0.288,9:01,0.01415
250719 09:18:00,36.1,2025-7-19 9:18,0.289,9:01,0.0143
250719 09:18:00,36.1,2025-7-19 9:18,0.288,9:01,0.01425
250719 09:18:00,36.2,2025-7-19 9:18,0.289,9:01,0.01429
250719 09:19:00,36.1,2025-7-19 9:19,0.288,9:01,0.01422
250719 09:19:00,36.1,2025-7-19 9:19,0.288,9:01,0.01452
250719 09:19:00,36.1,2025-7-19 9:19,0.288,9:01,0.01472
250719 09:19:00,36.2,2025-7-19 9:19,0.289,9:01,0.0147
250719 09:19:00,36.1,2025-7-19 9:19,0.288,9:01,0.01465
250719 09:19:00,36.1,2025-7-19 9:19,0.288,9:01,0.0149
250719 09:20:00,36,2025-7-19 9:20,0.288,9:02,0.01431
250719 09:20:00,36,2025-7-19 9:20,0.288,9:02,0.01475
250719 09:20:00,36.1,2025-7-19 9:20,0.288,9:02,0.01486
250719 09:20:00,36,2025-7-19 9:20,0.288,9:02,0.01481
250719 09:20:00,36.1,2025-7-19 9:20,0.289,9:02,0.01481
250719 09:20:00,36,2025-7-19 9:20,0.288,9:02,0.01514
250719 09:21:00,36.1,2025-7-19 9:21,0.288,9:02,0.01433
250719 09:21:00,36.1,2025-7-19 9:21,0.289,9:02,0.01466
250719 09:21:00,36.1,2025-7-19 9:21,0.288,9:02,0.01466
250719 09:21:00,36.1,2025-7-19 9:21,0.288,9:02,0.015
250719 09:21:00,36.1,2025-7-19 9:21,0.289,9:02,0.01524
250719 09:21:00,36.3,2025-7-19 9:21,0.288,9:02,0.01504
250719 09:22:00,36.2,2025-7-19 9:22,0.288,9:02,0.015
250719 09:22:00,36.1,2025-7-19 9:22,0.289,9:02,0.01471
250719 09:22:00,36.1,2025-7-19 9:22,0.288,9:02,0.01457
250719 09:22:00,36.2,2025-7-19 9:22,0.288,9:02,0.01445
250719 09:22:00,36.1,2025-7-19 9:22,0.288,9:02,0.01486
250719 09:22:00,36.1,2025-7-19 9:22,0.288,9:02,0.01526
250719 09:23:00,36.1,2025-7-19 9:23,0.288,9:02,0.01485
250719 09:23:00,36.1,2025-7-19 9:23,0.288,9:02,0.01483
250719 09:23:00,36.1,2025-7-19 9:23,0.287,9:02,0.01502
250719 09:23:00,36.1,2025-7-19 9:23,0.288,9:02,0.01533
250719 09:23:00,36.2,2025-7-19 9:23,0.288,9:02,0.01514
250719 09:23:00,36.1,2025-7-19 9:23,0.288,9:02,0.01521
250719 09:24:00,36.2,2025-7-19 9:24,0.288,9:02,0.01532
250719 09:24:00,36.2,2025-7-19 9:24,0.288,9:02,0.01529
250719 09:24:00,36.2,2025-7-19 9:24,0.288,9:02,0.01558
250719 09:24:00,36.1,2025-7-19 9:24,0.287,9:02,0.01588
250719 09:24:00,36.1,2025-7-19 9:24,0.288,9:02,0.01591
250719 09:24:00,36,2025-7-19 9:24,0.287,9:02,0.01586
250719 09:25:00,36.1,2025-7-19 9:25,0.289,9:02,0.01558
250719 09:25:00,36.2,2025-7-19 9:25,0.288,9:02,0.01575
250719 09:25:00,36.1,2025-7-19 9:25,0.289,9:02,0.01596
250719 09:25:00,36.2,2025-7-19 9:25,0.289,9:02,0.01573
250719 09:25:00,36.2,2025-7-19 9:25,0.288,9:02,0.01602
250719 09:25:00,36,2025-7-19 9:25,0.288,9:02,0.01597
250719 09:26:00,36.2,2025-7-19 9:26,0.288,9:02,0.01596
250719 09:26:00,36,2025-7-19 9:26,0.287,9:02,0.01574
250719 09:26:00,36.2,2025-7-19 9:26,0.288,9:02,0.01606
250719 09:26:00,36.1,2025-7-19 9:26,0.289,9:02,0.0159
250719 09:26:00,36.1,2025-7-19 9:26,0.288,9:02,0.01592
250719 09:26:00,36.1,2025-7-19 9:26,0.288,9:02,0.01603
250719 09:27:00,36.2,2025-7-19 9:27,0.289,9:02,0.01591
250719 09:27:00,36.1,2025-7-19 9:27,0.288,9:02,0.01591
250719 09:27:00,36.1,2025-7-19 9:27,0.288,9:02,0.01583
250719 09:27:00,36.2,2025-7-19 9:27,0.288,9:02,0.01617
250719 09:27:00,36.2,2025-7-19 9:27,0.288,9:02,0.016
250719 09:27:00,36.2,2025-7-19 9:27,0.288,9:02,0.01604
250719 09:28:00,36.2,2025-7-19 9:28,0.289,9:02,0.01575
250719 09:28:00,36.1,2025-7-19 9:28,0.288,9:02,0.01549
250719 09:28:00,36.1,2025-7-19 9:28,0.288,9:02,0.01556
250719 09:28:00,36,2025-7-19 9:28,0.289,9:02,0.01579
