damage_threshold_percentile,Lmax_detection_threshold_voxels,case,column_index,row_index,advance_warning_h
P85,10,S1,0,0,5.1
P85,10,S2,1,0,7.6
P85,10,S4,2,0,7.5
P85,25,S1,0,1,5.1
P85,25,S2,1,1,5.4
P85,25,S4,2,1,4.5
P85,50,S1,0,2,5.1
P85,50,S2,1,2,5.4
P85,50,S4,2,2,4.5
P85,75,S1,0,3,5.1
P85,75,S2,1,3,5.4
P85,75,S4,2,3,4.5
P85,100,S1,0,4,5.1
P85,100,S2,1,4,5.4
P85,100,S4,2,4,4.5
P85,150,S1,0,5,5.1
P85,150,S2,1,5,5.4
P85,150,S4,2,5,4.5
P85,200,S1,0,6,5.1
P85,200,S2,1,6,5.4
P85,200,S4,2,6,4.5
P85,300,S1,0,7,5.1
P85,300,S2,1,7,4.5
P85,300,S4,2,7,4.5
P90,10,S1,0,0,5.1
P90,10,S2,1,0,7.6
P90,10,S4,2,0,7.5
P90,25,S1,0,1,5.1
P90,25,S2,1,1,5.4
P90,25,S4,2,1,4.5
P90,50,S1,0,2,5.1
P90,50,S2,1,2,5.4
P90,50,S4,2,2,4.5
P90,75,S1,0,3,5.1
P90,75,S2,1,3,5.4
P90,75,S4,2,3,4.5
P90,100,S1,0,4,5.1
P90,100,S2,1,4,5.4
P90,100,S4,2,4,4.5
P90,150,S1,0,5,5.1
P90,150,S2,1,5,5.4
P90,150,S4,2,5,4.5
P90,200,S1,0,6,5.1
P90,200,S2,1,6,4.5
P90,200,S4,2,6,4.5
P90,300,S1,0,7,5.1
P90,300,S2,1,7,4.5
P90,300,S4,2,7,3.5
P95,10,S1,0,0,5.1
P95,10,S2,1,0,5.4
P95,10,S4,2,0,4.5
P95,25,S1,0,1,5.1
P95,25,S2,1,1,5.4
P95,25,S4,2,1,4.5
P95,50,S1,0,2,5.1
P95,50,S2,1,2,5.4
P95,50,S4,2,2,4.5
P95,75,S1,0,3,5.1
P95,75,S2,1,3,5.4
P95,75,S4,2,3,4
P95,100,S1,0,4,5.1
P95,100,S2,1,4,5
P95,100,S4,2,4,4
P95,150,S1,0,5,5.1
P95,150,S2,1,5,4.5
P95,150,S4,2,5,3.5
P95,200,S1,0,6,5.1
P95,200,S2,1,6,4
P95,200,S4,2,6,3.5
P95,300,S1,0,7,5.1
P95,300,S2,1,7,3
P95,300,S4,2,7,3
